pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDOJI,bullish,,bullish,crypto,1,doji,1,none,259,27878,14509,56476,-0.08200000000000002,-0.08200000000000002,0.52,0.458,6648,7861,3.89,4.73,3.18,14,16
CDLDOJI,bullish,,bullish,crypto,2,doji,1,none,259,23600,12066,79526,-0.0040000000000000036,-0.0040000000000000036,0.51,0.333,4013,8053,6.59,9.52,5.13,8,32
CDLDOJI,bullish,,bullish,crypto,3,doji,1,none,259,21465,10803,93804,0.05500000000000005,0.05500000000000005,0.5,0.265,2864,7939,8.68,14.86,6.45,3,32
CDLDOJI,bullish,,bullish,crypto,4,doji,1,none,259,20396,10109,101303,0.10399999999999998,0.10399999999999998,0.5,0.221,2238,7871,10.02,19.26,7.39,3,36
CDLDOJI,bullish,,bullish,crypto,5,doji,1,none,259,19622,9573,107079,0.1399999999999999,0.1399999999999999,0.49,0.19,1816,7757,11.19,23.66,8.27,3,36
CDLDOJI,bullish,,bullish,forex,1,doji,1,none,1285,716958,442055,859305,-0.599,-0.599,0.62,0.201,88836,353219,1.94,3.67,1.51,7,199
CDLDOJI,bullish,,bullish,forex,2,doji,1,none,1285,623432,378039,1195248,-0.608,-0.608,0.61,0.131,49448,328591,3.16,8.53,2.35,4,199
CDLDOJI,bullish,,bullish,forex,3,doji,1,none,1285,575043,343698,1408339,-0.609,-0.609,0.6,0.097,33469,310229,4.1,14.28,3.0,3,199
CDLDOJI,bullish,,bullish,forex,4,doji,1,none,1285,538402,317834,1562162,-0.6080000000000001,-0.6080000000000001,0.59,0.078,24753,293081,4.92,20.45,3.6,3,242
CDLDOJI,bullish,,bullish,forex,5,doji,1,none,1285,509741,296948,1682349,-0.615,-0.615,0.58,0.065,19378,277570,5.67,27.52,4.14,3,242
CDLDOJI,bullish,,bullish,stock,1,doji,1,none,6600,1774081,966760,2858446,0.05700000000000005,0.05700000000000005,0.54,0.527,509200,457560,2.96,3.01,2.89,16,14
CDLDOJI,bullish,,bullish,stock,2,doji,1,none,6600,1567037,846870,4332990,0.14200000000000002,0.14200000000000002,0.54,0.381,322747,524123,5.12,6.31,4.38,8,17
CDLDOJI,bullish,,bullish,stock,3,doji,1,none,6600,1420879,762106,5461621,0.20599999999999996,0.20599999999999996,0.54,0.302,230109,531997,7.17,10.55,5.7,6,19
CDLDOJI,bullish,,bullish,stock,4,doji,1,none,6600,1306039,695545,6345967,0.258,0.258,0.53,0.252,175473,520072,9.12,15.66,6.92,6,23
CDLDOJI,bullish,,bullish,stock,5,doji,1,none,6600,1213674,641805,7049192,0.31499999999999995,0.31499999999999995,0.53,0.219,140272,501533,10.98,21.46,8.05,5,26
