pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDOJI,bullish,,bullish,crypto,1,doji,1,none,259,41367,35692,60270,-0.11900000000000005,-0.11900000000000005,0.86,0.441,15733,19959,1.69,1.79,1.61,11,8
CDLDOJI,bullish,,bullish,crypto,2,doji,1,none,259,37699,32283,73537,0.134,0.134,0.86,0.377,12165,20118,2.28,2.53,2.12,11,12
CDLDOJI,bullish,,bullish,crypto,3,doji,1,none,259,35319,30081,82293,0.3510000000000001,0.3510000000000001,0.85,0.337,10148,19933,2.74,3.15,2.53,11,14
CDLDOJI,bullish,,bullish,crypto,4,doji,1,none,259,33425,28338,89151,0.554,0.554,0.85,0.311,8799,19539,3.15,3.8,2.85,11,15
CDLDOJI,bullish,,bullish,crypto,5,doji,1,none,259,32125,27127,94885,0.75,0.75,0.84,0.292,7917,19210,3.5,4.34,3.15,11,21
CDLDOJI,bullish,,bullish,forex,1,doji,1,none,1285,876879,765342,1232615,-0.29700000000000004,-0.29700000000000004,0.87,0.353,269798,495544,1.61,1.64,1.59,125,46
CDLDOJI,bullish,,bullish,forex,2,doji,1,none,1285,808660,701401,1408191,-0.040000000000000036,-0.040000000000000036,0.87,0.32,224790,476611,2.01,2.09,1.97,125,50
CDLDOJI,bullish,,bullish,forex,3,doji,1,none,1285,759371,655585,1553111,0.20900000000000007,0.20900000000000007,0.86,0.303,198517,457068,2.37,2.53,2.3,125,79
CDLDOJI,bullish,,bullish,forex,4,doji,1,none,1285,720581,619180,1671335,0.46199999999999997,0.46199999999999997,0.86,0.293,181222,437958,2.7,2.89,2.62,125,90
CDLDOJI,bullish,,bullish,forex,5,doji,1,none,1285,689867,590202,1766701,0.72,0.72,0.86,0.286,168941,421261,2.99,3.25,2.89,125,93
CDLDOJI,bullish,,bullish,stock,1,doji,1,none,6600,2288897,1987663,3291035,-0.16199999999999998,-0.16199999999999998,0.87,0.418,830509,1157154,1.66,1.77,1.58,14,20
CDLDOJI,bullish,,bullish,stock,2,doji,1,none,6600,2124793,1838963,4123692,0.027999999999999914,0.027999999999999914,0.87,0.344,633060,1205903,2.24,2.69,2.01,12,22
CDLDOJI,bullish,,bullish,stock,3,doji,1,none,6600,1998132,1724273,4852537,0.19100000000000006,0.19100000000000006,0.86,0.297,511364,1212909,2.81,3.78,2.41,9,32
CDLDOJI,bullish,,bullish,stock,4,doji,1,none,6600,1893044,1629035,5474899,0.31600000000000006,0.31600000000000006,0.86,0.264,429786,1199249,3.36,4.96,2.79,11,32
CDLDOJI,bullish,,bullish,stock,5,doji,1,none,6600,1800984,1545762,6027624,0.43999999999999995,0.43999999999999995,0.86,0.24,371341,1174421,3.9,6.24,3.16,15,33
