pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,crypto,1,down_gap_side_by_side,3,downtrend,11,26,18,57,-0.337,-0.11233333333333334,0.69,0.333,6,12,3.17,2.33,3.58,2,3
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,crypto,2,down_gap_side_by_side,3,downtrend,11,25,17,89,-0.644,-0.21466666666666667,0.68,0.118,2,15,5.24,2.5,5.6,2,3
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,crypto,3,down_gap_side_by_side,3,downtrend,11,25,16,87,-0.754,-0.25133333333333335,0.64,0.062,1,15,5.44,3.0,5.6,1,3
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,crypto,4,down_gap_side_by_side,3,downtrend,11,25,16,87,-0.692,-0.23066666666666666,0.64,0.062,1,15,5.44,3.0,5.6,1,3
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,crypto,5,down_gap_side_by_side,3,downtrend,11,25,16,87,-0.6299999999999999,-0.20999999999999996,0.64,0.062,1,15,5.44,3.0,5.6,1,3
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,forex,1,down_gap_side_by_side,3,downtrend,200,746,555,2940,0.020000000000000018,0.006666666666666672,0.74,0.51,283,272,5.3,5.04,5.56,7,5
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,forex,2,down_gap_side_by_side,3,downtrend,200,739,551,5692,0.118,0.03933333333333333,0.75,0.374,206,345,10.33,13.08,8.69,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,forex,3,down_gap_side_by_side,3,downtrend,200,729,541,7942,0.17199999999999993,0.05733333333333331,0.74,0.294,159,382,14.68,24.5,10.59,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,forex,4,down_gap_side_by_side,3,downtrend,200,726,537,10409,0.23399999999999999,0.078,0.74,0.246,132,405,19.38,34.27,14.53,6,11
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,forex,5,down_gap_side_by_side,3,downtrend,200,724,535,12214,0.14500000000000002,0.04833333333333334,0.74,0.191,102,433,22.83,46.89,17.16,3,11
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,stock,1,down_gap_side_by_side,3,downtrend,3417,36925,20846,172992,0.0010000000000000009,0.00033333333333333365,0.56,0.501,10440,10406,8.3,7.46,9.14,40,10
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,stock,2,down_gap_side_by_side,3,downtrend,3417,35059,19970,255998,0.11199999999999999,0.03733333333333333,0.57,0.371,7409,12561,12.82,12.98,12.73,35,15
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,stock,3,down_gap_side_by_side,3,downtrend,3417,33570,19260,330493,0.16300000000000003,0.054333333333333345,0.57,0.291,5607,13653,17.16,18.02,16.81,27,15
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,stock,4,down_gap_side_by_side,3,downtrend,3417,32444,18720,393071,0.19599999999999995,0.06533333333333331,0.58,0.239,4482,14238,21.0,25.3,19.64,20,17
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish continuation,stock,5,down_gap_side_by_side,3,downtrend,3417,31494,18249,449813,0.20500000000000007,0.06833333333333336,0.58,0.201,3666,14583,24.65,32.47,22.68,18,28
