pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,crypto,1,down_gap_side_by_side,3,downtrend,11,26,8,58,-0.245,-0.08166666666666667,0.31,0.375,3,5,7.25,2.33,10.2,1,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,crypto,2,down_gap_side_by_side,3,downtrend,11,26,8,74,-0.25,-0.08333333333333333,0.31,0.25,2,6,9.25,6.0,10.33,1,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,crypto,3,down_gap_side_by_side,3,downtrend,11,26,8,135,0.0,0.0,0.31,0.25,2,6,16.88,36.5,10.33,1,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,crypto,4,down_gap_side_by_side,3,downtrend,11,26,8,135,0.25,0.08333333333333333,0.31,0.25,2,6,16.88,36.5,10.33,1,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,crypto,5,down_gap_side_by_side,3,downtrend,11,26,8,200,-0.255,-0.085,0.31,0.125,1,7,25.0,9.0,27.29,1,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,forex,1,down_gap_side_by_side,3,downtrend,200,755,239,1089,0.37600000000000006,0.12533333333333335,0.32,0.686,164,75,4.56,4.85,3.91,5,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,forex,2,down_gap_side_by_side,3,downtrend,200,746,233,4373,0.262,0.08733333333333333,0.31,0.421,98,135,18.77,31.09,9.82,5,4
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,forex,3,down_gap_side_by_side,3,downtrend,200,743,225,6205,0.1080000000000001,0.03600000000000003,0.3,0.276,62,163,27.58,55.11,17.1,3,4
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,forex,4,down_gap_side_by_side,3,downtrend,200,738,222,7287,0.01200000000000001,0.0040000000000000036,0.3,0.203,45,177,32.82,55.02,27.18,3,4
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,forex,5,down_gap_side_by_side,3,downtrend,200,732,219,8032,-0.019999999999999907,-0.006666666666666636,0.3,0.164,36,183,36.68,80.97,27.96,3,4
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,stock,1,down_gap_side_by_side,3,downtrend,3417,39753,9017,27747,-0.10500000000000004,-0.03500000000000001,0.23,0.445,4014,5003,3.08,3.24,2.95,15,11
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,stock,2,down_gap_side_by_side,3,downtrend,3417,39480,8926,43752,-0.006000000000000005,-0.0020000000000000018,0.23,0.332,2961,5965,4.9,6.4,4.16,13,19
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,stock,3,down_gap_side_by_side,3,downtrend,3417,39205,8847,58800,0.028000000000000025,0.009333333333333341,0.23,0.256,2269,6578,6.65,10.12,5.45,11,24
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,stock,4,down_gap_side_by_side,3,downtrend,3417,38883,8771,75637,0.041999999999999926,0.013999999999999976,0.23,0.208,1826,6945,8.62,14.32,7.13,10,27
CDLGAPSIDESIDEWHITE,bearish,continuation,bearish mean reversion,stock,5,down_gap_side_by_side,3,downtrend,3417,38606,8706,91875,0.039999999999999925,0.013333333333333308,0.23,0.174,1518,7188,10.55,20.51,8.45,9,27
