pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,crypto,1,down_gap_side_by_side,3,downtrend,11,26,25,30,0.28,0.09333333333333334,0.96,0.64,16,9,1.2,1.12,1.33,3,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,crypto,2,down_gap_side_by_side,3,downtrend,11,26,25,36,0.6800000000000002,0.2266666666666667,0.96,0.56,14,11,1.44,1.07,1.91,2,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,crypto,3,down_gap_side_by_side,3,downtrend,11,26,25,37,1.08,0.36000000000000004,0.96,0.52,13,12,1.48,1.0,2.0,2,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,crypto,4,down_gap_side_by_side,3,downtrend,11,26,25,56,1.6,0.5333333333333333,0.96,0.52,13,12,2.24,2.46,2.0,2,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,crypto,5,down_gap_side_by_side,3,downtrend,11,26,25,58,1.88,0.6266666666666666,0.96,0.48,12,13,2.32,2.58,2.08,2,2
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,forex,1,down_gap_side_by_side,3,downtrend,200,753,702,2257,-0.04300000000000004,-0.014333333333333345,0.93,0.477,335,367,3.22,2.79,3.6,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,forex,2,down_gap_side_by_side,3,downtrend,200,752,700,3563,0.254,0.08466666666666667,0.93,0.417,292,408,5.09,1.49,7.67,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,forex,3,down_gap_side_by_side,3,downtrend,200,752,700,3766,0.5479999999999999,0.18266666666666664,0.93,0.386,270,430,5.38,1.75,7.66,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,forex,4,down_gap_side_by_side,3,downtrend,200,752,699,3953,0.8119999999999999,0.27066666666666667,0.93,0.363,254,445,5.66,2.1,7.69,6,7
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,forex,5,down_gap_side_by_side,3,downtrend,200,751,698,4237,1.085,0.36166666666666664,0.93,0.347,242,456,6.07,2.1,8.18,6,9
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,stock,1,down_gap_side_by_side,3,downtrend,3417,40353,27644,56938,-0.5950000000000001,-0.19833333333333336,0.69,0.205,5656,21988,2.06,3.07,1.8,6,31
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,stock,2,down_gap_side_by_side,3,downtrend,3417,40175,27544,67870,-0.46799999999999997,-0.156,0.69,0.176,4861,22683,2.46,4.03,2.13,4,31
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,stock,3,down_gap_side_by_side,3,downtrend,3417,40039,27452,76955,-0.363,-0.121,0.69,0.159,4353,23099,2.8,5.36,2.32,4,38
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,stock,4,down_gap_side_by_side,3,downtrend,3417,39921,27375,85062,-0.28,-0.09333333333333334,0.69,0.145,3973,23402,3.11,6.65,2.51,4,42
CDLGAPSIDESIDEWHITE,bearish,continuation,bullish reversal,stock,5,down_gap_side_by_side,3,downtrend,3417,39798,27298,94912,-0.18499999999999994,-0.06166666666666665,0.69,0.135,3673,23625,3.48,8.04,2.77,4,42
