pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,crypto,1,downside_gap_three_methods,3,downtrend,87,312,307,970,-0.0020000000000000018,-0.0006666666666666673,0.98,0.498,153,154,3.16,2.75,3.57,5,4
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,crypto,2,downside_gap_three_methods,3,downtrend,87,310,299,1658,-0.18199999999999994,-0.06066666666666665,0.96,0.274,82,217,5.55,5.88,5.42,4,7
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,crypto,3,downside_gap_three_methods,3,downtrend,87,308,296,2538,-0.19100000000000006,-0.06366666666666669,0.96,0.203,60,236,8.57,9.92,8.23,3,7
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,crypto,4,downside_gap_three_methods,3,downtrend,87,302,288,2893,-0.21599999999999997,-0.072,0.95,0.156,45,243,10.05,13.84,9.34,2,7
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,crypto,5,downside_gap_three_methods,3,downtrend,87,298,284,3922,-0.235,-0.07833333333333332,0.95,0.127,36,248,13.81,37.75,10.33,2,7
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,forex,1,downside_gap_three_methods,3,downtrend,454,2201,2179,5832,-0.10300000000000004,-0.03433333333333335,0.99,0.447,974,1205,2.68,2.97,2.44,12,10
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,forex,2,downside_gap_three_methods,3,downtrend,454,2196,2174,10653,-0.07599999999999996,-0.02533333333333332,0.99,0.307,668,1506,4.9,6.68,4.11,7,10
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,forex,3,downside_gap_three_methods,3,downtrend,454,2191,2168,14336,-0.08899999999999997,-0.029666666666666657,0.99,0.227,492,1676,6.61,11.12,5.29,5,10
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,forex,4,downside_gap_three_methods,3,downtrend,454,2181,2156,16847,-0.07999999999999996,-0.026666666666666655,0.99,0.185,399,1757,7.81,14.72,6.24,5,10
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,forex,5,downside_gap_three_methods,3,downtrend,454,2172,2145,21436,-0.08999999999999997,-0.02999999999999999,0.99,0.152,327,1818,9.99,21.94,7.84,4,10
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,stock,1,downside_gap_three_methods,3,downtrend,3631,22958,21097,58784,-0.063,-0.021,0.92,0.467,9845,11252,2.79,2.76,2.81,14,13
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,stock,2,downside_gap_three_methods,3,downtrend,3631,22834,20963,95215,0.01200000000000001,0.0040000000000000036,0.92,0.336,7038,13925,4.54,5.29,4.17,11,15
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,stock,3,downside_gap_three_methods,3,downtrend,3631,22692,20811,132339,0.049000000000000044,0.01633333333333335,0.92,0.263,5471,15340,6.36,8.73,5.51,10,15
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,stock,4,downside_gap_three_methods,3,downtrend,3631,22558,20670,166399,0.061999999999999944,0.02066666666666665,0.92,0.213,4405,16265,8.05,12.14,6.94,10,15
CDLXSIDEGAP3METHODS,bearish,continuation,bearish continuation,stock,5,downside_gap_three_methods,3,downtrend,3631,22458,20565,202994,0.07500000000000007,0.025000000000000022,0.92,0.179,3678,16887,9.87,16.88,8.34,7,16
