pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,crypto,1,downside_gap_three_methods,3,downtrend,87,309,89,446,0.34400000000000003,0.11466666666666668,0.29,0.674,60,29,5.01,5.35,4.31,4,2
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,crypto,2,downside_gap_three_methods,3,downtrend,87,308,85,875,0.6560000000000001,0.2186666666666667,0.28,0.553,47,38,10.29,13.66,6.13,3,2
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,crypto,3,downside_gap_three_methods,3,downtrend,87,307,83,1406,0.594,0.19799999999999998,0.27,0.398,33,50,16.94,23.45,12.64,2,2
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,crypto,4,downside_gap_three_methods,3,downtrend,87,306,83,1762,0.8039999999999999,0.26799999999999996,0.27,0.361,30,53,21.23,33.93,14.04,2,3
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,crypto,5,downside_gap_three_methods,3,downtrend,87,306,83,2054,0.945,0.315,0.27,0.325,27,56,24.75,40.52,17.14,2,3
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,forex,1,downside_gap_three_methods,3,downtrend,454,2202,541,2214,0.237,0.079,0.25,0.617,334,207,4.09,4.23,3.87,4,3
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,forex,2,downside_gap_three_methods,3,downtrend,454,2196,537,4549,0.19400000000000006,0.06466666666666669,0.24,0.397,213,324,8.47,10.24,7.31,4,4
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,forex,3,downside_gap_three_methods,3,downtrend,454,2190,536,6802,0.15700000000000003,0.05233333333333334,0.24,0.289,155,381,12.69,19.22,10.03,4,5
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,forex,4,downside_gap_three_methods,3,downtrend,454,2187,533,8963,0.15400000000000003,0.05133333333333334,0.24,0.231,123,410,16.82,30.38,12.75,3,5
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,forex,5,downside_gap_three_methods,3,downtrend,454,2182,531,10958,0.19999999999999996,0.06666666666666665,0.24,0.2,106,425,20.64,45.12,14.53,2,5
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,stock,1,downside_gap_three_methods,3,downtrend,3631,22892,6330,23067,0.15799999999999997,0.05266666666666666,0.28,0.578,3658,2672,3.64,3.5,3.84,6,4
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,stock,2,downside_gap_three_methods,3,downtrend,3631,22809,6287,43548,0.254,0.08466666666666667,0.28,0.417,2624,3663,6.93,8.37,5.89,6,7
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,stock,3,downside_gap_three_methods,3,downtrend,3631,22769,6264,65962,0.2919999999999999,0.09733333333333331,0.28,0.324,2032,4232,10.53,15.44,8.17,6,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,stock,4,downside_gap_three_methods,3,downtrend,3631,22727,6253,88708,0.31600000000000006,0.10533333333333335,0.28,0.264,1651,4602,14.19,24.83,10.37,4,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish mean reversion,stock,5,downside_gap_three_methods,3,downtrend,3631,22691,6234,110680,0.365,0.12166666666666666,0.27,0.227,1414,4820,17.75,35.15,12.65,3,8
