pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,crypto,1,downside_gap_three_methods,3,downtrend,87,312,231,530,-0.30400000000000005,-0.10133333333333334,0.74,0.346,80,151,2.29,2.6,2.13,3,5
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,crypto,2,downside_gap_three_methods,3,downtrend,87,311,230,838,-0.18999999999999995,-0.06333333333333331,0.74,0.27,62,168,3.64,5.29,3.04,3,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,crypto,3,downside_gap_three_methods,3,downtrend,87,311,230,1035,-0.11399999999999999,-0.038,0.74,0.222,51,179,4.5,8.69,3.31,2,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,crypto,4,downside_gap_three_methods,3,downtrend,87,311,230,1206,-0.04600000000000004,-0.015333333333333346,0.74,0.191,44,186,5.24,11.68,3.72,2,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,crypto,5,downside_gap_three_methods,3,downtrend,87,311,230,1441,0.02000000000000013,0.00666666666666671,0.74,0.17,39,191,6.27,15.59,4.36,2,8
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,forex,1,downside_gap_three_methods,3,downtrend,454,2201,1577,5413,-0.336,-0.112,0.72,0.334,526,1051,3.43,3.97,3.16,5,7
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,forex,2,downside_gap_three_methods,3,downtrend,454,2197,1571,11322,-0.37000000000000005,-0.12333333333333335,0.72,0.21,330,1241,7.21,9.93,6.48,3,9
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,forex,3,downside_gap_three_methods,3,downtrend,454,2188,1560,16282,-0.41200000000000003,-0.13733333333333334,0.71,0.146,227,1333,10.44,21.59,8.54,2,10
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,forex,4,downside_gap_three_methods,3,downtrend,454,2187,1558,18718,-0.42,-0.13999999999999999,0.71,0.115,179,1379,12.01,32.9,9.3,2,10
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,forex,5,downside_gap_three_methods,3,downtrend,454,2180,1553,23114,-0.42000000000000004,-0.14,0.71,0.096,149,1404,14.88,49.36,11.23,2,10
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,stock,1,downside_gap_three_methods,3,downtrend,3631,22954,18387,41790,-0.177,-0.059,0.8,0.413,7603,10784,2.27,2.56,2.07,7,11
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,stock,2,downside_gap_three_methods,3,downtrend,3631,22919,18339,66915,-0.09599999999999997,-0.031999999999999994,0.8,0.302,5547,12792,3.65,5.23,2.96,7,12
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,stock,3,downside_gap_three_methods,3,downtrend,3631,22888,18291,91659,-0.04300000000000004,-0.014333333333333345,0.8,0.239,4376,13915,5.01,8.65,3.87,5,13
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,stock,4,downside_gap_three_methods,3,downtrend,3631,22848,18248,115496,0.0040000000000000036,0.0013333333333333346,0.8,0.201,3669,14579,6.33,12.8,4.7,5,14
CDLXSIDEGAP3METHODS,bearish,continuation,bullish reversal,stock,5,downside_gap_three_methods,3,downtrend,3631,22806,18208,139872,0.039999999999999925,0.013333333333333308,0.8,0.174,3170,15038,7.68,18.34,5.44,4,14
