pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,1,downside_tasuki_gap,3,downtrend,3,6,6,6,-0.6629999999999999,-0.22099999999999997,1.0,0.167,1,5,1.0,1.0,1.0,0,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,2,downside_tasuki_gap,3,downtrend,3,6,6,6,-0.49599999999999994,-0.1653333333333333,1.0,0.167,1,5,1.0,1.0,1.0,0,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,3,downside_tasuki_gap,3,downtrend,3,6,6,6,-0.32899999999999996,-0.10966666666666665,1.0,0.167,1,5,1.0,1.0,1.0,0,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,4,downside_tasuki_gap,3,downtrend,3,6,6,7,-1.0,-0.3333333333333333,1.0,0.0,0,6,1.17,,1.17,0,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,5,downside_tasuki_gap,3,downtrend,3,6,6,7,-1.0,-0.3333333333333333,1.0,0.0,0,6,1.17,,1.17,0,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,1,downside_tasuki_gap,3,downtrend,28,60,60,100,-0.36300000000000004,-0.12100000000000001,1.0,0.317,19,41,1.67,2.0,1.51,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,2,downside_tasuki_gap,3,downtrend,28,60,60,128,-0.304,-0.10133333333333333,1.0,0.233,14,46,2.13,2.0,2.17,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,3,downside_tasuki_gap,3,downtrend,28,60,60,150,-0.32899999999999996,-0.10966666666666665,1.0,0.167,10,50,2.5,2.8,2.44,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,4,downside_tasuki_gap,3,downtrend,28,60,60,187,-0.16199999999999992,-0.05399999999999997,1.0,0.167,10,50,3.12,6.5,2.44,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,5,downside_tasuki_gap,3,downtrend,28,59,59,279,-0.17999999999999994,-0.05999999999999998,1.0,0.136,8,51,4.73,5.12,4.67,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,1,downside_tasuki_gap,3,downtrend,3270,17236,15594,20104,-0.536,-0.17866666666666667,0.9,0.234,3645,11949,1.29,1.56,1.21,5,12
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,2,downside_tasuki_gap,3,downtrend,3270,17230,15582,24393,-0.4,-0.13333333333333333,0.9,0.2,3119,12463,1.57,2.32,1.38,5,12
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,3,downside_tasuki_gap,3,downtrend,3270,17227,15574,28934,-0.30799999999999994,-0.10266666666666664,0.9,0.174,2709,12865,1.86,3.19,1.58,5,13
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,4,downside_tasuki_gap,3,downtrend,3270,17224,15563,32871,-0.21999999999999997,-0.07333333333333332,0.9,0.155,2408,13155,2.11,4.16,1.74,4,13
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,5,downside_tasuki_gap,3,downtrend,3270,17220,15556,36458,-0.16499999999999992,-0.05499999999999997,0.9,0.139,2165,13391,2.34,5.14,1.89,4,13
