pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,1,downside_tasuki_gap,3,downtrend,3,6,5,20,-0.19999999999999996,-0.06666666666666665,0.83,0.4,2,3,4.0,8.5,1.0,2,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,2,downside_tasuki_gap,3,downtrend,3,6,5,22,-0.4,-0.13333333333333333,0.83,0.2,1,4,4.4,17.0,1.25,1,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,3,downside_tasuki_gap,3,downtrend,3,6,5,23,-0.19999999999999996,-0.06666666666666665,0.83,0.2,1,4,4.6,18.0,1.25,1,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,4,downside_tasuki_gap,3,downtrend,3,6,5,23,0.0,0.0,0.83,0.2,1,4,4.6,18.0,1.25,1,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,crypto,5,downside_tasuki_gap,3,downtrend,3,6,5,23,0.19999999999999996,0.06666666666666665,0.83,0.2,1,4,4.6,18.0,1.25,1,2
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,1,downside_tasuki_gap,3,downtrend,28,60,41,99,-0.417,-0.13899999999999998,0.68,0.293,12,29,2.41,3.33,2.03,2,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,2,downside_tasuki_gap,3,downtrend,28,60,41,154,-0.41000000000000003,-0.1366666666666667,0.68,0.195,8,33,3.76,7.62,2.82,1,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,3,downside_tasuki_gap,3,downtrend,28,60,41,223,-0.21500000000000008,-0.0716666666666667,0.68,0.195,8,33,5.44,16.25,2.82,1,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,4,downside_tasuki_gap,3,downtrend,28,59,40,331,-0.25,-0.08333333333333333,0.68,0.15,6,34,8.28,20.33,6.15,1,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,forex,5,downside_tasuki_gap,3,downtrend,28,59,40,340,-0.255,-0.085,0.68,0.125,5,35,8.5,25.2,6.11,1,3
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,1,downside_tasuki_gap,3,downtrend,3270,17224,13433,20280,-0.497,-0.16566666666666666,0.78,0.253,3398,10035,1.51,1.89,1.38,5,10
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,2,downside_tasuki_gap,3,downtrend,3270,17216,13418,27389,-0.404,-0.13466666666666668,0.78,0.198,2661,10757,2.04,3.43,1.7,5,11
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,3,downside_tasuki_gap,3,downtrend,3270,17214,13411,34217,-0.351,-0.11699999999999999,0.78,0.163,2192,11219,2.55,5.26,2.02,4,11
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,4,downside_tasuki_gap,3,downtrend,3270,17206,13401,40806,-0.30799999999999994,-0.10266666666666664,0.78,0.138,1852,11549,3.04,7.46,2.34,4,13
CDLTASUKIGAP,bearish,continuation,bullish reversal,stock,5,downside_tasuki_gap,3,downtrend,3270,17200,13392,46783,-0.27,-0.09000000000000001,0.78,0.122,1634,11758,3.49,9.95,2.6,4,13
