pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,1,dragonfly_doji,1,none,235,5962,3908,12040,-0.016000000000000014,-0.016000000000000014,0.66,0.494,1930,1978,3.08,3.01,3.15,25,9
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,2,dragonfly_doji,1,none,235,5618,3670,20929,-0.008000000000000007,-0.008000000000000007,0.65,0.331,1213,2457,5.7,6.61,5.25,15,16
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,3,dragonfly_doji,1,none,235,5360,3494,29388,-0.028000000000000025,-0.028000000000000025,0.65,0.244,853,2641,8.41,10.43,7.76,13,20
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,4,dragonfly_doji,1,none,235,5184,3372,34150,-0.09599999999999997,-0.09599999999999997,0.65,0.181,610,2762,10.13,14.53,9.16,11,38
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,5,dragonfly_doji,1,none,235,4919,3237,41425,-0.15500000000000003,-0.15500000000000003,0.66,0.141,456,2781,12.8,19.97,11.62,8,38
CDLDRAGONFLYDOJI,bullish,,bearish,forex,1,dragonfly_doji,1,none,1198,83584,55271,233741,0.05800000000000005,0.05800000000000005,0.66,0.528,29162,26109,4.23,5.08,3.28,189,11
CDLDRAGONFLYDOJI,bullish,,bearish,forex,2,dragonfly_doji,1,none,1198,71537,47267,391013,0.08599999999999997,0.08599999999999997,0.66,0.363,17159,30108,8.27,10.93,6.76,63,17
CDLDRAGONFLYDOJI,bullish,,bearish,forex,3,dragonfly_doji,1,none,1198,67447,44566,474945,0.1140000000000001,0.1140000000000001,0.66,0.278,12370,32196,10.66,16.4,8.45,47,108
CDLDRAGONFLYDOJI,bullish,,bearish,forex,4,dragonfly_doji,1,none,1198,64849,42777,538760,0.10399999999999998,0.10399999999999998,0.66,0.221,9456,33321,12.59,22.6,9.76,37,108
CDLDRAGONFLYDOJI,bullish,,bearish,forex,5,dragonfly_doji,1,none,1198,62713,41201,597157,0.08999999999999997,0.08999999999999997,0.66,0.182,7514,33687,14.49,28.75,11.31,29,155
CDLDRAGONFLYDOJI,bullish,,bearish,stock,1,dragonfly_doji,1,none,6133,340686,220751,635083,0.05600000000000005,0.05600000000000005,0.65,0.526,116087,104664,2.88,2.85,2.9,81,16
CDLDRAGONFLYDOJI,bullish,,bearish,stock,2,dragonfly_doji,1,none,6133,326101,211557,1059737,0.10799999999999998,0.10799999999999998,0.65,0.369,78051,133506,5.01,5.87,4.51,59,18
CDLDRAGONFLYDOJI,bullish,,bearish,stock,3,dragonfly_doji,1,none,6133,314202,204100,1466918,0.1140000000000001,0.1140000000000001,0.65,0.278,56771,147329,7.19,9.73,6.21,46,29
CDLDRAGONFLYDOJI,bullish,,bearish,stock,4,dragonfly_doji,1,none,6133,304824,198261,1786212,0.10399999999999998,0.10399999999999998,0.65,0.221,43829,154432,9.01,14.23,7.53,39,37
CDLDRAGONFLYDOJI,bullish,,bearish,stock,5,dragonfly_doji,1,none,6133,295662,192490,2083289,0.08999999999999997,0.08999999999999997,0.65,0.182,35063,157427,10.82,19.17,8.96,31,39
