pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,1,dragonfly_doji,1,none,235,7309,7072,7402,-0.16199999999999998,-0.16199999999999998,0.97,0.418,2959,4113,1.05,1.06,1.03,172,14
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,2,dragonfly_doji,1,none,235,7267,7030,7612,0.22399999999999998,0.22399999999999998,0.97,0.407,2864,4166,1.08,1.1,1.07,172,14
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,3,dragonfly_doji,1,none,235,7210,6974,7868,0.5850000000000001,0.5850000000000001,0.97,0.395,2756,4218,1.13,1.17,1.1,172,30
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,4,dragonfly_doji,1,none,235,7164,6929,8193,0.916,0.916,0.97,0.384,2660,4269,1.18,1.26,1.14,172,37
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,5,dragonfly_doji,1,none,235,7137,6904,8549,1.225,1.225,0.97,0.371,2558,4346,1.24,1.3,1.2,172,37
CDLDRAGONFLYDOJI,bullish,,bearish,forex,1,dragonfly_doji,1,none,1198,117049,112490,132162,-0.19899999999999995,-0.19899999999999995,0.96,0.401,45144,67346,1.17,1.24,1.13,1591,64
CDLDRAGONFLYDOJI,bullish,,bearish,forex,2,dragonfly_doji,1,none,1198,116552,111981,137831,0.19000000000000006,0.19000000000000006,0.96,0.395,44287,67694,1.23,1.28,1.2,1590,64
CDLDRAGONFLYDOJI,bullish,,bearish,forex,3,dragonfly_doji,1,none,1198,116041,111464,142293,0.5599999999999999,0.5599999999999999,0.96,0.39,43471,67993,1.28,1.33,1.24,1589,64
CDLDRAGONFLYDOJI,bullish,,bearish,forex,4,dragonfly_doji,1,none,1198,115575,110992,145194,0.92,0.92,0.96,0.385,42747,68245,1.31,1.37,1.27,1589,64
CDLDRAGONFLYDOJI,bullish,,bearish,forex,5,dragonfly_doji,1,none,1198,115148,110567,147301,1.2799999999999998,1.2799999999999998,0.96,0.38,41962,68605,1.33,1.4,1.29,1589,64
CDLDRAGONFLYDOJI,bullish,,bearish,stock,1,dragonfly_doji,1,none,6133,384759,355921,411863,-0.31600000000000006,-0.31600000000000006,0.93,0.344,122503,233418,1.16,1.24,1.11,292,36
CDLDRAGONFLYDOJI,bullish,,bearish,stock,2,dragonfly_doji,1,none,6133,383778,354996,419442,0.01200000000000001,0.01200000000000001,0.93,0.336,119243,235753,1.18,1.28,1.13,288,40
CDLDRAGONFLYDOJI,bullish,,bearish,stock,3,dragonfly_doji,1,none,6133,382410,353698,430556,0.30799999999999994,0.30799999999999994,0.92,0.326,115138,238560,1.22,1.34,1.16,288,40
CDLDRAGONFLYDOJI,bullish,,bearish,stock,4,dragonfly_doji,1,none,6133,381130,352467,441987,0.58,0.58,0.92,0.315,111046,241421,1.25,1.41,1.18,286,42
CDLDRAGONFLYDOJI,bullish,,bearish,stock,5,dragonfly_doji,1,none,6133,379937,351320,455731,0.825,0.825,0.92,0.305,106989,244331,1.3,1.49,1.21,286,42
