pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,1,dragonfly_doji,1,none,235,6175,3700,9661,-0.36200000000000004,-0.36200000000000004,0.6,0.318,1177,2523,2.61,3.23,2.32,16,16
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,2,dragonfly_doji,1,none,235,5956,3568,16439,-0.34600000000000003,-0.34600000000000003,0.6,0.217,773,2795,4.61,6.9,3.97,11,20
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,3,dragonfly_doji,1,none,235,5660,3404,22267,-0.372,-0.372,0.6,0.156,530,2874,6.54,9.74,5.95,8,29
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,4,dragonfly_doji,1,none,235,5520,3319,27365,-0.404,-0.404,0.6,0.119,394,2925,8.24,16.84,7.09,7,36
CDLDRAGONFLYDOJI,bullish,,bearish,crypto,5,dragonfly_doji,1,none,235,5338,3205,31551,-0.41000000000000003,-0.41000000000000003,0.6,0.098,315,2890,9.84,23.62,8.34,7,36
CDLDRAGONFLYDOJI,bullish,,bearish,forex,1,dragonfly_doji,1,none,1198,91614,53567,123039,-0.54,-0.54,0.58,0.23,12321,41246,2.3,3.31,1.99,93,95
CDLDRAGONFLYDOJI,bullish,,bearish,forex,2,dragonfly_doji,1,none,1198,88947,52313,161405,-0.46599999999999997,-0.46599999999999997,0.59,0.177,9250,43063,3.09,5.71,2.52,85,95
CDLDRAGONFLYDOJI,bullish,,bearish,forex,3,dragonfly_doji,1,none,1198,87367,51545,193865,-0.43100000000000005,-0.43100000000000005,0.59,0.143,7367,44178,3.76,8.56,2.96,83,120
CDLDRAGONFLYDOJI,bullish,,bearish,forex,4,dragonfly_doji,1,none,1198,85643,50763,223865,-0.40800000000000003,-0.40800000000000003,0.59,0.118,5973,44790,4.41,11.9,3.41,76,245
CDLDRAGONFLYDOJI,bullish,,bearish,forex,5,dragonfly_doji,1,none,1198,84276,50153,247228,-0.4,-0.4,0.6,0.1,5002,45151,4.93,15.76,3.73,72,259
CDLDRAGONFLYDOJI,bullish,,bearish,stock,1,dragonfly_doji,1,none,6133,352735,215745,449429,-0.28500000000000003,-0.28500000000000003,0.61,0.355,76625,139120,2.08,2.5,1.86,96,20
CDLDRAGONFLYDOJI,bullish,,bearish,stock,2,dragonfly_doji,1,none,6133,345046,211191,639969,-0.22199999999999998,-0.22199999999999998,0.61,0.259,54760,156431,3.03,4.43,2.54,60,31
CDLDRAGONFLYDOJI,bullish,,bearish,stock,3,dragonfly_doji,1,none,6133,338917,207397,813832,-0.19399999999999995,-0.19399999999999995,0.61,0.202,41923,165474,3.92,6.79,3.2,49,42
CDLDRAGONFLYDOJI,bullish,,bearish,stock,4,dragonfly_doji,1,none,6133,333516,204111,983256,-0.18399999999999994,-0.18399999999999994,0.61,0.164,33551,170560,4.82,9.62,3.87,39,46
CDLDRAGONFLYDOJI,bullish,,bearish,stock,5,dragonfly_doji,1,none,6133,327869,200713,1147327,-0.16999999999999993,-0.16999999999999993,0.61,0.138,27694,173019,5.72,13.02,4.55,34,52
