pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,1,dragonfly_doji,1,none,235,6032,3179,9621,0.018000000000000016,0.018000000000000016,0.53,0.508,1616,1563,3.03,3.19,2.86,15,6
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,2,dragonfly_doji,1,none,235,5738,3008,16112,0.16200000000000003,0.16200000000000003,0.52,0.386,1160,1848,5.36,6.97,4.34,5,7
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,3,dragonfly_doji,1,none,235,5567,2906,20513,0.22799999999999998,0.22799999999999998,0.52,0.306,889,2017,7.06,10.06,5.74,5,13
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,4,dragonfly_doji,1,none,235,5451,2839,23761,0.30400000000000005,0.30400000000000005,0.52,0.261,742,2097,8.37,12.59,6.88,3,13
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,5,dragonfly_doji,1,none,235,5342,2773,25961,0.365,0.365,0.52,0.227,630,2143,9.36,15.55,7.54,3,14
CDLDRAGONFLYDOJI,bullish,,bullish,forex,1,dragonfly_doji,1,none,1198,90415,46936,123043,-0.063,-0.063,0.52,0.467,21918,25018,2.62,3.01,2.28,18,20
CDLDRAGONFLYDOJI,bullish,,bullish,forex,2,dragonfly_doji,1,none,1198,79360,41211,245856,-0.03200000000000003,-0.03200000000000003,0.52,0.324,13365,27846,5.97,7.45,5.25,5,25
CDLDRAGONFLYDOJI,bullish,,bullish,forex,3,dragonfly_doji,1,none,1198,76062,39486,315969,-0.028000000000000025,-0.028000000000000025,0.52,0.244,9653,29833,8.0,12.01,6.71,4,63
CDLDRAGONFLYDOJI,bullish,,bullish,forex,4,dragonfly_doji,1,none,1198,74017,38444,371355,-0.03400000000000003,-0.03400000000000003,0.52,0.194,7468,30976,9.66,16.51,8.01,4,64
CDLDRAGONFLYDOJI,bullish,,bullish,forex,5,dragonfly_doji,1,none,1198,72234,37532,416659,-0.03499999999999992,-0.03499999999999992,0.52,0.161,6052,31480,11.1,22.41,8.93,4,67
CDLDRAGONFLYDOJI,bullish,,bullish,stock,1,dragonfly_doji,1,none,6133,344444,180655,480861,0.03500000000000003,0.03500000000000003,0.52,0.515,93054,87601,2.66,2.71,2.61,16,11
CDLDRAGONFLYDOJI,bullish,,bullish,stock,2,dragonfly_doji,1,none,6133,334158,174798,772260,0.132,0.132,0.52,0.376,65678,109120,4.42,5.36,3.85,9,20
CDLDRAGONFLYDOJI,bullish,,bullish,stock,3,dragonfly_doji,1,none,6133,327153,170883,1023039,0.19100000000000006,0.19100000000000006,0.52,0.297,50722,120161,5.99,8.62,4.87,6,22
CDLDRAGONFLYDOJI,bullish,,bullish,stock,4,dragonfly_doji,1,none,6133,321079,167431,1254716,0.238,0.238,0.52,0.247,41422,126009,7.49,12.63,5.81,6,26
CDLDRAGONFLYDOJI,bullish,,bullish,stock,5,dragonfly_doji,1,none,6133,315543,164369,1465725,0.28,0.28,0.52,0.214,35103,129266,8.92,17.12,6.69,6,32
