pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,1,dragonfly_doji,1,none,235,6161,5257,14628,-0.13799999999999996,-0.13799999999999996,0.85,0.432,2272,2985,2.78,3.3,2.39,7,13
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,2,dragonfly_doji,1,none,235,5980,5094,19854,-0.014000000000000012,-0.014000000000000012,0.85,0.328,1673,3421,3.9,5.54,3.09,7,18
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,3,dragonfly_doji,1,none,235,5835,4961,23019,0.06800000000000006,0.06800000000000006,0.85,0.266,1319,3642,4.64,7.42,3.63,4,18
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,4,dragonfly_doji,1,none,235,5699,4846,26596,0.11599999999999999,0.11599999999999999,0.85,0.224,1087,3759,5.49,9.74,4.26,3,18
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,5,dragonfly_doji,1,none,235,5621,4778,29298,0.15500000000000003,0.15500000000000003,0.85,0.193,921,3857,6.13,12.18,4.69,3,28
CDLDRAGONFLYDOJI,bullish,,bullish,forex,1,dragonfly_doji,1,none,1198,83561,69903,293084,-0.35800000000000004,-0.35800000000000004,0.84,0.322,22474,47429,4.19,4.29,4.14,21,90
CDLDRAGONFLYDOJI,bullish,,bullish,forex,2,dragonfly_doji,1,none,1198,78981,66177,382091,-0.28800000000000003,-0.28800000000000003,0.84,0.236,15644,50533,5.77,7.49,5.24,11,105
CDLDRAGONFLYDOJI,bullish,,bullish,forex,3,dragonfly_doji,1,none,1198,76169,63894,448472,-0.252,-0.252,0.84,0.186,11887,52007,7.02,11.1,6.09,10,201
CDLDRAGONFLYDOJI,bullish,,bullish,forex,4,dragonfly_doji,1,none,1198,74074,62119,500726,-0.238,-0.238,0.84,0.153,9502,52617,8.06,14.92,6.82,10,201
CDLDRAGONFLYDOJI,bullish,,bullish,forex,5,dragonfly_doji,1,none,1198,72528,60830,538373,-0.21999999999999997,-0.21999999999999997,0.84,0.13,7901,52929,8.85,18.54,7.4,5,201
CDLDRAGONFLYDOJI,bullish,,bullish,stock,1,dragonfly_doji,1,none,6133,353894,298953,677817,-0.10200000000000004,-0.10200000000000004,0.84,0.448,133895,165058,2.27,2.36,2.2,13,13
CDLDRAGONFLYDOJI,bullish,,bullish,stock,2,dragonfly_doji,1,none,6133,344848,291516,984421,0.016000000000000014,0.016000000000000014,0.85,0.338,98543,192973,3.38,4.22,2.95,9,22
CDLDRAGONFLYDOJI,bullish,,bullish,stock,3,dragonfly_doji,1,none,6133,337325,285341,1260122,0.08900000000000008,0.08900000000000008,0.85,0.273,77908,207433,4.42,6.55,3.61,7,30
CDLDRAGONFLYDOJI,bullish,,bullish,stock,4,dragonfly_doji,1,none,6133,330470,279612,1507647,0.15000000000000002,0.15000000000000002,0.85,0.23,64373,215239,5.39,9.27,4.23,5,30
CDLDRAGONFLYDOJI,bullish,,bullish,stock,5,dragonfly_doji,1,none,6133,324182,274453,1742805,0.19999999999999996,0.19999999999999996,0.85,0.2,54883,219570,6.35,12.4,4.84,5,34
