pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,1,dragonfly_doji,1,none,235,6062,4567,13568,-0.11900000000000005,-0.11900000000000005,0.75,0.441,2016,2551,2.97,3.39,2.64,7,11
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,2,dragonfly_doji,1,none,235,5899,4436,18594,-0.03400000000000003,-0.03400000000000003,0.75,0.323,1434,3002,4.19,5.83,3.41,4,13
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,3,dragonfly_doji,1,none,235,5757,4326,22324,0.04300000000000004,0.04300000000000004,0.75,0.261,1130,3196,5.16,8.34,4.03,4,13
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,4,dragonfly_doji,1,none,235,5645,4248,26203,0.11599999999999999,0.11599999999999999,0.75,0.224,953,3295,6.17,11.0,4.77,4,26
CDLDRAGONFLYDOJI,bullish,,bullish,crypto,5,dragonfly_doji,1,none,235,5561,4179,28881,0.15500000000000003,0.15500000000000003,0.75,0.193,808,3371,6.91,13.64,5.3,3,26
CDLDRAGONFLYDOJI,bullish,,bullish,forex,1,dragonfly_doji,1,none,1198,84626,64744,270380,-0.35800000000000004,-0.35800000000000004,0.77,0.322,20830,43914,4.18,4.28,4.13,21,74
CDLDRAGONFLYDOJI,bullish,,bullish,forex,2,dragonfly_doji,1,none,1198,79951,61323,362358,-0.31,-0.31,0.77,0.23,14118,47205,5.91,7.71,5.37,11,197
CDLDRAGONFLYDOJI,bullish,,bullish,forex,3,dragonfly_doji,1,none,1198,77005,59168,430234,-0.28300000000000003,-0.28300000000000003,0.77,0.179,10578,48590,7.27,11.72,6.3,10,197
CDLDRAGONFLYDOJI,bullish,,bullish,forex,4,dragonfly_doji,1,none,1198,75020,57597,483416,-0.28,-0.28,0.77,0.145,8374,49223,8.39,16.1,7.08,6,197
CDLDRAGONFLYDOJI,bullish,,bullish,forex,5,dragonfly_doji,1,none,1198,73386,56240,527524,-0.265,-0.265,0.77,0.123,6893,49347,9.38,21.43,7.7,5,197
CDLDRAGONFLYDOJI,bullish,,bullish,stock,1,dragonfly_doji,1,none,6133,350519,279000,684453,-0.09700000000000003,-0.09700000000000003,0.8,0.453,126397,152603,2.45,2.55,2.37,12,13
CDLDRAGONFLYDOJI,bullish,,bullish,stock,2,dragonfly_doji,1,none,6133,341134,271700,1017362,0.010000000000000009,0.010000000000000009,0.8,0.335,91146,180554,3.74,4.75,3.24,7,24
CDLDRAGONFLYDOJI,bullish,,bullish,stock,3,dragonfly_doji,1,none,6133,333299,265532,1311081,0.07700000000000007,0.07700000000000007,0.8,0.269,71513,194019,4.94,7.47,4.0,7,30
CDLDRAGONFLYDOJI,bullish,,bullish,stock,4,dragonfly_doji,1,none,6133,326194,259884,1578893,0.134,0.134,0.8,0.226,58654,201230,6.08,10.72,4.72,5,37
CDLDRAGONFLYDOJI,bullish,,bullish,stock,5,dragonfly_doji,1,none,6133,319818,254948,1830465,0.17999999999999994,0.17999999999999994,0.8,0.196,50020,204928,7.18,14.39,5.42,5,37
