pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLEVENINGSTAR,bearish,reversal,bearish reversal,crypto,1,evening_star,3,uptrend,68,190,130,1437,-0.09600000000000003,-0.03200000000000001,0.68,0.454,59,71,11.05,10.76,11.3,3,3
CDLEVENINGSTAR,bearish,reversal,bearish reversal,crypto,2,evening_star,3,uptrend,68,186,126,3019,-0.21599999999999997,-0.072,0.68,0.262,33,93,23.96,24.67,23.71,2,4
CDLEVENINGSTAR,bearish,reversal,bearish reversal,crypto,3,evening_star,3,uptrend,68,182,120,3714,-0.29500000000000004,-0.09833333333333334,0.66,0.175,21,99,30.95,39.05,29.23,2,4
CDLEVENINGSTAR,bearish,reversal,bearish reversal,crypto,4,evening_star,3,uptrend,68,177,115,5137,-0.48400000000000004,-0.16133333333333336,0.65,0.104,12,103,44.67,123.33,35.5,1,4
CDLEVENINGSTAR,bearish,reversal,bearish reversal,crypto,5,evening_star,3,uptrend,68,176,114,4976,-0.635,-0.21166666666666667,0.65,0.061,7,107,43.65,59.43,42.62,1,4
CDLEVENINGSTAR,bearish,reversal,bearish reversal,forex,1,evening_star,3,uptrend,544,2752,1966,17236,-0.02100000000000002,-0.007000000000000006,0.71,0.489,961,1005,8.77,8.73,8.81,9,7
CDLEVENINGSTAR,bearish,reversal,bearish reversal,forex,2,evening_star,3,uptrend,544,2738,1955,33935,-0.03400000000000003,-0.011333333333333343,0.71,0.323,632,1323,17.36,24.49,13.95,9,7
CDLEVENINGSTAR,bearish,reversal,bearish reversal,forex,3,evening_star,3,uptrend,544,2723,1937,52788,-0.04300000000000004,-0.014333333333333345,0.71,0.239,462,1475,27.25,46.02,21.38,7,9
CDLEVENINGSTAR,bearish,reversal,bearish reversal,forex,4,evening_star,3,uptrend,544,2705,1916,68269,-0.09599999999999997,-0.031999999999999994,0.71,0.181,346,1570,35.63,80.57,25.73,4,9
CDLEVENINGSTAR,bearish,reversal,bearish reversal,forex,5,evening_star,3,uptrend,544,2681,1894,87132,-0.12,-0.04,0.71,0.146,277,1617,46.0,129.87,31.64,4,10
CDLEVENINGSTAR,bearish,reversal,bearish reversal,stock,1,evening_star,3,uptrend,3972,38104,29877,232939,-0.02200000000000002,-0.00733333333333334,0.78,0.488,14578,15299,7.8,7.66,7.92,15,11
CDLEVENINGSTAR,bearish,reversal,bearish reversal,stock,2,evening_star,3,uptrend,3972,37647,29455,454362,-0.06599999999999995,-0.02199999999999998,0.78,0.312,9183,20272,15.43,19.35,13.65,11,16
CDLEVENINGSTAR,bearish,reversal,bearish reversal,stock,3,evening_star,3,uptrend,3972,37231,29023,648666,-0.11699999999999999,-0.039,0.78,0.221,6423,22600,22.35,34.4,18.92,9,18
CDLEVENINGSTAR,bearish,reversal,bearish reversal,stock,4,evening_star,3,uptrend,3972,36792,28577,800122,-0.1499999999999999,-0.04999999999999997,0.78,0.17,4845,23732,28.0,50.22,23.46,7,21
CDLEVENINGSTAR,bearish,reversal,bearish reversal,stock,5,evening_star,3,uptrend,3972,36332,28116,957279,-0.18499999999999994,-0.06166666666666665,0.77,0.135,3799,24317,34.05,71.31,28.23,7,23
