pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,crypto,1,falling_three_methods,5,downtrend,4,8,8,253,-0.245,-0.049,1.0,0.375,3,5,31.62,6.0,47.0,1,2
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,crypto,2,falling_three_methods,5,downtrend,4,8,8,268,-0.63,-0.126,1.0,0.125,1,7,33.5,8.0,37.14,1,2
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,crypto,3,falling_three_methods,5,downtrend,4,8,7,260,-1.0,-0.2,0.88,0.0,0,7,37.14,,37.14,0,2
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,crypto,4,falling_three_methods,5,downtrend,4,8,7,260,-1.0,-0.2,0.88,0.0,0,7,37.14,,37.14,0,2
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,crypto,5,falling_three_methods,5,downtrend,4,8,7,260,-1.0,-0.2,0.88,0.0,0,7,37.14,,37.14,0,2
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,forex,1,falling_three_methods,5,downtrend,83,183,182,1796,-0.0050000000000000044,-0.0010000000000000009,0.99,0.495,90,92,9.87,10.22,9.52,3,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,forex,2,falling_three_methods,5,downtrend,83,181,180,3403,-0.122,-0.024399999999999998,0.99,0.294,53,127,18.91,26.57,15.71,3,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,forex,3,falling_three_methods,5,downtrend,83,180,179,4759,-0.16900000000000004,-0.03380000000000001,0.99,0.207,37,142,26.59,45.81,21.58,2,4
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,forex,4,falling_three_methods,5,downtrend,83,180,179,5971,-0.21599999999999997,-0.043199999999999995,0.99,0.156,28,151,33.36,63.82,27.71,2,4
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,forex,5,falling_three_methods,5,downtrend,83,180,178,6893,-0.26,-0.052000000000000005,0.99,0.124,22,156,38.72,87.0,31.92,2,4
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,stock,1,falling_three_methods,5,downtrend,103,219,195,2479,-0.11900000000000005,-0.02380000000000001,0.89,0.441,86,109,12.71,10.47,14.49,2,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,stock,2,falling_three_methods,5,downtrend,103,219,193,4088,-0.10999999999999999,-0.022,0.88,0.295,57,136,21.18,22.33,20.7,2,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,stock,3,falling_three_methods,5,downtrend,103,219,191,4867,-0.052000000000000046,-0.01040000000000001,0.87,0.236,45,146,25.48,35.2,22.49,2,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,stock,4,falling_three_methods,5,downtrend,103,219,190,7509,-0.134,-0.0268,0.87,0.174,33,157,39.52,47.06,37.94,2,3
CDLRISEFALL3METHODS,bearish,continuation,bearish continuation,stock,5,falling_three_methods,5,downtrend,103,219,190,8129,-0.15000000000000002,-0.030000000000000006,0.87,0.142,27,163,42.78,60.41,39.87,2,4
