pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,crypto,1,falling_three_methods,5,downtrend,4,8,3,13,-0.337,-0.0674,0.38,0.333,1,2,4.33,1.0,6.0,1,1
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,crypto,2,falling_three_methods,5,downtrend,4,8,3,37,-0.0040000000000000036,-0.0008000000000000007,0.38,0.333,1,2,12.33,25.0,6.0,1,1
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,crypto,3,falling_three_methods,5,downtrend,4,8,3,154,0.32900000000000007,0.06580000000000001,0.38,0.333,1,2,51.33,142.0,6.0,1,1
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,crypto,4,falling_three_methods,5,downtrend,4,8,3,168,0.662,0.13240000000000002,0.38,0.333,1,2,56.0,156.0,6.0,1,1
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,crypto,5,falling_three_methods,5,downtrend,4,8,3,346,0.995,0.199,0.38,0.333,1,2,115.33,334.0,6.0,1,1
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,forex,1,falling_three_methods,5,downtrend,83,184,130,496,0.182,0.0364,0.71,0.592,77,53,3.82,4.25,3.19,3,3
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,forex,2,falling_three_methods,5,downtrend,83,184,130,858,0.31599999999999995,0.06319999999999999,0.71,0.438,57,73,6.6,8.82,4.86,2,3
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,forex,3,falling_three_methods,5,downtrend,83,184,130,1322,0.511,0.1022,0.71,0.377,49,81,10.17,16.8,6.16,2,4
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,forex,4,falling_three_methods,5,downtrend,83,182,128,1661,0.488,0.09759999999999999,0.7,0.297,38,90,12.98,21.47,9.39,2,4
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,forex,5,falling_three_methods,5,downtrend,83,182,127,2572,0.41999999999999993,0.08399999999999999,0.7,0.236,30,97,20.25,36.4,15.26,2,4
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,stock,1,falling_three_methods,5,downtrend,103,221,123,607,0.30000000000000004,0.06000000000000001,0.56,0.65,80,43,4.93,4.78,5.23,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,stock,2,falling_three_methods,5,downtrend,103,220,122,1195,0.29800000000000004,0.05960000000000001,0.55,0.434,53,69,9.8,12.25,7.91,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,stock,3,falling_three_methods,5,downtrend,103,220,122,1707,0.511,0.1022,0.55,0.377,46,76,13.99,21.39,9.51,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,stock,4,falling_three_methods,5,downtrend,103,220,122,2121,0.554,0.11080000000000001,0.55,0.311,38,84,17.39,29.26,12.01,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish mean reversion,stock,5,falling_three_methods,5,downtrend,103,220,122,2785,0.5700000000000001,0.11400000000000002,0.55,0.262,32,90,22.83,43.09,15.62,2,2
