pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,crypto,1,falling_three_methods,5,downtrend,4,8,2,2,-1.0,-0.2,0.25,0.0,0,2,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,crypto,2,falling_three_methods,5,downtrend,4,8,2,2,-1.0,-0.2,0.25,0.0,0,2,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,crypto,3,falling_three_methods,5,downtrend,4,8,2,2,-1.0,-0.2,0.25,0.0,0,2,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,crypto,4,falling_three_methods,5,downtrend,4,8,2,2,-1.0,-0.2,0.25,0.0,0,2,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,crypto,5,falling_three_methods,5,downtrend,4,8,2,2,-1.0,-0.2,0.25,0.0,0,2,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,forex,1,falling_three_methods,5,downtrend,83,184,72,141,-0.755,-0.151,0.39,0.125,9,63,1.96,2.89,1.83,1,2
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,forex,2,falling_three_methods,5,downtrend,83,184,72,171,-0.668,-0.1336,0.39,0.111,8,64,2.38,6.38,1.88,1,3
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,forex,3,falling_three_methods,5,downtrend,83,184,72,240,-0.7719999999999999,-0.15439999999999998,0.39,0.056,4,68,3.33,7.25,3.1,1,3
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,forex,4,falling_three_methods,5,downtrend,83,184,72,305,-0.7919999999999999,-0.15839999999999999,0.39,0.042,3,69,4.24,17.67,3.65,1,3
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,forex,5,falling_three_methods,5,downtrend,83,184,72,327,-0.75,-0.15,0.39,0.042,3,69,4.54,25.0,3.65,1,3
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,stock,1,falling_three_methods,5,downtrend,103,221,74,165,-0.483,-0.09659999999999999,0.33,0.257,19,55,2.23,2.53,2.13,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,stock,2,falling_three_methods,5,downtrend,103,221,74,230,-0.34800000000000003,-0.06960000000000001,0.33,0.216,16,58,3.11,5.69,2.4,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,stock,3,falling_three_methods,5,downtrend,103,221,74,350,-0.2919999999999999,-0.05839999999999999,0.33,0.176,13,61,4.73,13.62,2.84,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,stock,4,falling_three_methods,5,downtrend,103,221,74,419,-0.19199999999999995,-0.03839999999999999,0.33,0.162,12,62,5.66,19.67,2.95,2,2
CDLRISEFALL3METHODS,bearish,continuation,bullish reversal,stock,5,falling_three_methods,5,downtrend,103,221,74,519,-0.029999999999999916,-0.005999999999999983,0.33,0.162,12,62,7.01,28.0,2.95,2,2
