pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,1,gravestone_doji,1,none,242,6047,5268,23066,-0.13899999999999996,-0.13899999999999996,0.87,0.431,2271,2997,4.38,3.86,4.77,26,20
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,2,gravestone_doji,1,none,242,5498,4798,34501,-0.07799999999999996,-0.07799999999999996,0.87,0.306,1469,3329,7.19,7.44,7.08,18,33
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,3,gravestone_doji,1,none,242,5045,4421,44045,-0.05500000000000005,-0.05500000000000005,0.88,0.235,1039,3382,9.96,9.15,10.21,14,33
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,4,gravestone_doji,1,none,242,4831,4232,50304,-0.050000000000000044,-0.050000000000000044,0.88,0.19,805,3427,11.89,13.59,11.49,13,33
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,5,gravestone_doji,1,none,242,4577,3993,53519,-0.06499999999999995,-0.06499999999999995,0.87,0.155,617,3376,13.4,16.96,12.75,10,33
CDLGRAVESTONEDOJI,bullish,,bearish,forex,1,gravestone_doji,1,none,1190,66818,53000,185049,-0.22199999999999998,-0.22199999999999998,0.79,0.388,20589,32411,3.49,3.88,3.25,282,36
CDLGRAVESTONEDOJI,bullish,,bearish,forex,2,gravestone_doji,1,none,1190,63677,50876,247623,-0.07399999999999995,-0.07399999999999995,0.8,0.308,15681,35195,4.87,6.02,4.35,273,99
CDLGRAVESTONEDOJI,bullish,,bearish,forex,3,gravestone_doji,1,none,1190,61663,49401,296869,0.025000000000000022,0.025000000000000022,0.8,0.255,12573,36828,6.01,8.2,5.26,153,99
CDLGRAVESTONEDOJI,bullish,,bearish,forex,4,gravestone_doji,1,none,1190,60183,48255,331656,0.09599999999999997,0.09599999999999997,0.8,0.219,10556,37699,6.87,10.78,5.78,147,108
CDLGRAVESTONEDOJI,bullish,,bearish,forex,5,gravestone_doji,1,none,1190,59056,47449,366219,0.14500000000000002,0.14500000000000002,0.8,0.191,9048,38401,7.72,13.4,6.38,136,108
CDLGRAVESTONEDOJI,bullish,,bearish,stock,1,gravestone_doji,1,none,6104,314836,266612,612586,-0.09800000000000003,-0.09800000000000003,0.85,0.452,120607,146005,2.3,2.36,2.25,110,16
CDLGRAVESTONEDOJI,bullish,,bearish,stock,2,gravestone_doji,1,none,6104,305525,258977,909148,-0.006000000000000005,-0.006000000000000005,0.85,0.332,86049,172928,3.51,4.22,3.16,83,25
CDLGRAVESTONEDOJI,bullish,,bearish,stock,3,gravestone_doji,1,none,6104,297520,252458,1182745,0.040000000000000036,0.040000000000000036,0.85,0.26,65712,186746,4.68,6.57,4.02,64,34
CDLGRAVESTONEDOJI,bullish,,bearish,stock,4,gravestone_doji,1,none,6104,290257,246543,1440703,0.05799999999999994,0.05799999999999994,0.85,0.212,52329,194214,5.84,9.47,4.87,52,35
CDLGRAVESTONEDOJI,bullish,,bearish,stock,5,gravestone_doji,1,none,6104,283247,240691,1667088,0.06999999999999995,0.06999999999999995,0.85,0.178,42760,197931,6.93,12.4,5.74,40,42
