pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,1,gravestone_doji,1,none,242,5995,4662,22352,-0.14299999999999996,-0.14299999999999996,0.78,0.427,1992,2670,4.79,4.34,5.14,24,19
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,2,gravestone_doji,1,none,242,5461,4256,33020,-0.10799999999999998,-0.10799999999999998,0.78,0.296,1261,2995,7.76,8.32,7.52,16,20
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,3,gravestone_doji,1,none,242,5006,3908,43663,-0.10499999999999998,-0.10499999999999998,0.78,0.225,881,3027,11.17,10.95,11.24,13,35
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,4,gravestone_doji,1,none,242,4739,3691,50368,-0.10399999999999998,-0.10399999999999998,0.78,0.179,660,3031,13.65,17.08,12.9,12,35
CDLGRAVESTONEDOJI,bullish,,bearish,crypto,5,gravestone_doji,1,none,242,4485,3482,57081,-0.14500000000000002,-0.14500000000000002,0.78,0.143,497,2985,16.39,23.72,15.17,10,35
CDLGRAVESTONEDOJI,bullish,,bearish,forex,1,gravestone_doji,1,none,1190,67214,48965,170037,-0.21899999999999997,-0.21899999999999997,0.73,0.391,19134,29831,3.47,3.77,3.28,229,33
CDLGRAVESTONEDOJI,bullish,,bearish,forex,2,gravestone_doji,1,none,1190,64115,47079,234626,-0.09199999999999997,-0.09199999999999997,0.73,0.304,14328,32751,4.98,6.17,4.47,220,50
CDLGRAVESTONEDOJI,bullish,,bearish,forex,3,gravestone_doji,1,none,1190,62134,45717,286370,-0.006000000000000005,-0.006000000000000005,0.74,0.248,11332,34385,6.26,8.74,5.45,115,80
CDLGRAVESTONEDOJI,bullish,,bearish,forex,4,gravestone_doji,1,none,1190,60583,44577,322077,0.04599999999999993,0.04599999999999993,0.74,0.209,9302,35275,7.23,11.57,6.08,110,91
CDLGRAVESTONEDOJI,bullish,,bearish,forex,5,gravestone_doji,1,none,1190,59429,43798,362160,0.06999999999999995,0.06999999999999995,0.74,0.178,7802,35996,8.27,15.21,6.76,105,91
CDLGRAVESTONEDOJI,bullish,,bearish,stock,1,gravestone_doji,1,none,6104,311889,249734,624941,-0.09800000000000003,-0.09800000000000003,0.8,0.452,112798,136936,2.5,2.59,2.43,110,14
CDLGRAVESTONEDOJI,bullish,,bearish,stock,2,gravestone_doji,1,none,6104,302185,242149,947317,-0.03200000000000003,-0.03200000000000003,0.8,0.324,78452,163697,3.91,4.82,3.48,83,23
CDLGRAVESTONEDOJI,bullish,,bearish,stock,3,gravestone_doji,1,none,6104,293816,235632,1242132,0.0030000000000000027,0.0030000000000000027,0.8,0.251,59026,176606,5.27,7.7,4.46,63,37
CDLGRAVESTONEDOJI,bullish,,bearish,stock,4,gravestone_doji,1,none,6104,286206,229769,1523042,0.008000000000000007,0.008000000000000007,0.8,0.202,46443,183326,6.63,11.22,5.46,51,42
CDLGRAVESTONEDOJI,bullish,,bearish,stock,5,gravestone_doji,1,none,6104,278942,223959,1761328,0.01000000000000012,0.01000000000000012,0.8,0.168,37696,186263,7.86,14.81,6.46,38,52
