pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGRAVESTONEDOJI,bullish,,bullish,crypto,1,gravestone_doji,1,none,242,8186,7834,8443,-0.21999999999999997,-0.21999999999999997,0.96,0.39,3053,4781,1.08,1.11,1.06,11,16
CDLGRAVESTONEDOJI,bullish,,bullish,crypto,2,gravestone_doji,1,none,242,8120,7770,8676,0.138,0.138,0.96,0.379,2942,4828,1.12,1.15,1.1,11,24
CDLGRAVESTONEDOJI,bullish,,bullish,crypto,3,gravestone_doji,1,none,242,8063,7715,8939,0.46799999999999986,0.46799999999999986,0.96,0.366,2827,4888,1.16,1.18,1.15,11,24
CDLGRAVESTONEDOJI,bullish,,bullish,crypto,4,gravestone_doji,1,none,242,8000,7654,9141,0.7839999999999999,0.7839999999999999,0.96,0.356,2721,4933,1.19,1.22,1.18,11,24
CDLGRAVESTONEDOJI,bullish,,bullish,crypto,5,gravestone_doji,1,none,242,7943,7599,9384,1.0599999999999996,1.0599999999999996,0.96,0.344,2614,4985,1.23,1.26,1.22,11,24
CDLGRAVESTONEDOJI,bullish,,bullish,forex,1,gravestone_doji,1,none,1190,90151,85202,98244,-0.08000000000000002,-0.08000000000000002,0.95,0.46,39208,45994,1.15,1.1,1.2,177,42
CDLGRAVESTONEDOJI,bullish,,bullish,forex,2,gravestone_doji,1,none,1190,89775,84832,101026,0.356,0.356,0.94,0.453,38409,46423,1.19,1.11,1.26,177,44
CDLGRAVESTONEDOJI,bullish,,bullish,forex,3,gravestone_doji,1,none,1190,89424,84484,102654,0.788,0.788,0.94,0.446,37692,46792,1.22,1.13,1.29,177,44
CDLGRAVESTONEDOJI,bullish,,bullish,forex,4,gravestone_doji,1,none,1190,89144,84211,104343,1.2,1.2,0.94,0.44,37083,47128,1.24,1.14,1.31,177,44
CDLGRAVESTONEDOJI,bullish,,bullish,forex,5,gravestone_doji,1,none,1190,88914,83987,105840,1.6149999999999998,1.6149999999999998,0.94,0.435,36505,47482,1.26,1.16,1.34,177,44
CDLGRAVESTONEDOJI,bullish,,bullish,stock,1,gravestone_doji,1,none,6104,340705,315776,360833,-0.339,-0.339,0.93,0.331,104671,211105,1.14,1.2,1.11,14,26
CDLGRAVESTONEDOJI,bullish,,bullish,stock,2,gravestone_doji,1,none,6104,339789,314909,367287,-0.03400000000000003,-0.03400000000000003,0.93,0.323,101640,213269,1.17,1.24,1.13,14,26
CDLGRAVESTONEDOJI,bullish,,bullish,stock,3,gravestone_doji,1,none,6104,338685,313858,375445,0.2490000000000001,0.2490000000000001,0.93,0.313,98092,215766,1.2,1.29,1.15,14,26
CDLGRAVESTONEDOJI,bullish,,bullish,stock,4,gravestone_doji,1,none,6104,337605,312833,385001,0.508,0.508,0.93,0.302,94434,218399,1.23,1.35,1.18,14,32
CDLGRAVESTONEDOJI,bullish,,bullish,stock,5,gravestone_doji,1,none,6104,336640,311916,395573,0.75,0.75,0.93,0.292,90996,220920,1.27,1.42,1.21,14,35
