pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHANGINGMAN,bearish,reversal,bearish reversal,crypto,1,hanging_man,1,uptrend,204,2965,2859,3087,-0.09900000000000003,-0.09900000000000003,0.96,0.451,1288,1571,1.08,1.09,1.07,34,11
CDLHANGINGMAN,bearish,reversal,bearish reversal,crypto,2,hanging_man,1,uptrend,204,2945,2839,3200,0.31799999999999995,0.31799999999999995,0.96,0.439,1246,1593,1.13,1.14,1.12,34,12
CDLHANGINGMAN,bearish,reversal,bearish reversal,crypto,3,hanging_man,1,uptrend,204,2918,2813,3312,0.7080000000000001,0.7080000000000001,0.96,0.426,1197,1616,1.18,1.19,1.17,34,13
CDLHANGINGMAN,bearish,reversal,bearish reversal,crypto,4,hanging_man,1,uptrend,204,2911,2806,3424,1.088,1.088,0.96,0.417,1171,1635,1.22,1.26,1.19,33,13
CDLHANGINGMAN,bearish,reversal,bearish reversal,crypto,5,hanging_man,1,uptrend,204,2891,2786,3586,1.4449999999999998,1.4449999999999998,0.96,0.407,1135,1651,1.29,1.32,1.27,31,13
CDLHANGINGMAN,bearish,reversal,bearish reversal,forex,1,hanging_man,1,uptrend,1175,85568,83071,101296,-0.257,-0.257,0.97,0.373,30996,52075,1.22,1.32,1.16,501,50
CDLHANGINGMAN,bearish,reversal,bearish reversal,forex,2,hanging_man,1,uptrend,1175,84861,82354,106922,0.10199999999999998,0.10199999999999998,0.97,0.366,30123,52231,1.3,1.39,1.24,501,50
CDLHANGINGMAN,bearish,reversal,bearish reversal,forex,3,hanging_man,1,uptrend,1175,84475,81966,111060,0.44000000000000006,0.44000000000000006,0.97,0.36,29491,52475,1.35,1.47,1.29,500,50
CDLHANGINGMAN,bearish,reversal,bearish reversal,forex,4,hanging_man,1,uptrend,1175,84107,81589,113862,0.7659999999999999,0.7659999999999999,0.97,0.354,28860,52729,1.4,1.51,1.33,500,50
CDLHANGINGMAN,bearish,reversal,bearish reversal,forex,5,hanging_man,1,uptrend,1175,83811,81293,116329,1.0899999999999999,1.0899999999999999,0.97,0.348,28300,52993,1.43,1.56,1.36,500,50
CDLHANGINGMAN,bearish,reversal,bearish reversal,stock,1,hanging_man,1,uptrend,5365,255865,239153,281365,-0.28300000000000003,-0.28300000000000003,0.93,0.357,85359,153794,1.18,1.27,1.12,134,26
CDLHANGINGMAN,bearish,reversal,bearish reversal,stock,2,hanging_man,1,uptrend,5365,254796,238124,297375,0.018000000000000016,0.018000000000000016,0.93,0.339,80702,157422,1.25,1.39,1.18,133,26
CDLHANGINGMAN,bearish,reversal,bearish reversal,stock,3,hanging_man,1,uptrend,5365,253641,237004,318109,0.28300000000000003,0.28300000000000003,0.93,0.321,76124,160880,1.34,1.55,1.25,130,26
CDLHANGINGMAN,bearish,reversal,bearish reversal,stock,4,hanging_man,1,uptrend,5365,252592,236010,342175,0.52,0.52,0.93,0.305,72040,163970,1.45,1.7,1.34,130,29
CDLHANGINGMAN,bearish,reversal,bearish reversal,stock,5,hanging_man,1,uptrend,5365,251679,235131,363848,0.75,0.75,0.93,0.292,68600,166531,1.55,1.87,1.41,129,36
