pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,crypto,1,hanging_man,1,uptrend,204,2388,1211,5379,0.05800000000000005,0.05800000000000005,0.51,0.528,639,572,4.44,4.68,4.17,6,9
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,crypto,2,hanging_man,1,uptrend,204,2233,1135,8486,0.19400000000000006,0.19400000000000006,0.51,0.397,451,684,7.48,9.57,6.1,5,9
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,crypto,3,hanging_man,1,uptrend,204,2165,1092,10333,0.30799999999999994,0.30799999999999994,0.5,0.326,356,736,9.46,13.45,7.53,4,9
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,crypto,4,hanging_man,1,uptrend,204,2116,1062,12111,0.40400000000000014,0.40400000000000014,0.5,0.281,298,764,11.4,16.13,9.56,4,9
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,crypto,5,hanging_man,1,uptrend,204,2097,1050,12995,0.52,0.52,0.5,0.254,267,783,12.38,19.0,10.12,4,9
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,forex,1,hanging_man,1,uptrend,1175,68444,36950,111129,-0.09600000000000003,-0.09600000000000003,0.54,0.454,16767,20183,3.01,3.67,2.45,29,28
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,forex,2,hanging_man,1,uptrend,1175,58740,31771,223391,-0.06999999999999995,-0.06999999999999995,0.54,0.31,9835,21936,7.03,9.39,5.97,9,36
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,forex,3,hanging_man,1,uptrend,1175,56201,30351,286516,-0.06799999999999995,-0.06799999999999995,0.54,0.234,7088,23263,9.44,14.99,7.75,4,75
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,forex,4,hanging_man,1,uptrend,1175,54534,29460,339874,-0.08399999999999996,-0.08399999999999996,0.54,0.184,5415,24045,11.54,21.09,9.39,3,90
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,forex,5,hanging_man,1,uptrend,1175,53303,28847,379260,-0.08999999999999997,-0.08999999999999997,0.54,0.152,4371,24476,13.15,27.89,10.51,3,90
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,stock,1,hanging_man,1,uptrend,5365,226172,115308,341389,0.06000000000000005,0.06000000000000005,0.51,0.53,61065,54243,2.96,2.98,2.94,14,10
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,stock,2,hanging_man,1,uptrend,5365,217740,110747,555653,0.138,0.138,0.51,0.379,42012,68735,5.02,6.05,4.39,8,17
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,stock,3,hanging_man,1,uptrend,5365,212443,107851,737605,0.19399999999999995,0.19399999999999995,0.51,0.298,32112,75739,6.84,9.98,5.51,6,27
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,stock,4,hanging_man,1,uptrend,5365,208102,105511,904932,0.242,0.242,0.51,0.248,26161,79350,8.58,14.52,6.62,6,26
CDLHANGINGMAN,bearish,reversal,bullish mean reversion,stock,5,hanging_man,1,uptrend,5365,204316,103497,1053573,0.28,0.28,0.51,0.214,22160,81337,10.18,19.76,7.57,5,33
