pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,crypto,1,homing_pigeon,2,downtrend,97,326,160,952,0.339,0.1695,0.49,0.669,107,53,5.95,5.37,7.11,3,3
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,crypto,2,homing_pigeon,2,downtrend,97,321,156,2003,0.31199999999999994,0.15599999999999997,0.49,0.436,68,88,12.84,12.65,12.99,3,4
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,crypto,3,homing_pigeon,2,downtrend,97,318,154,2703,0.246,0.123,0.48,0.312,48,106,17.55,21.65,15.7,3,4
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,crypto,4,homing_pigeon,2,downtrend,97,315,151,3032,0.15800000000000003,0.07900000000000001,0.48,0.232,35,116,20.08,27.69,17.78,2,4
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,crypto,5,homing_pigeon,2,downtrend,97,315,151,3322,0.31499999999999995,0.15749999999999997,0.48,0.219,33,118,22.0,34.97,18.37,2,4
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,forex,1,homing_pigeon,2,downtrend,380,1884,975,4436,0.30000000000000004,0.15000000000000002,0.52,0.65,634,341,4.55,4.0,5.57,14,4
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,forex,2,homing_pigeon,2,downtrend,380,1822,946,14199,0.16200000000000003,0.08100000000000002,0.52,0.386,365,581,15.01,18.25,12.97,6,7
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,forex,3,homing_pigeon,2,downtrend,380,1794,925,21573,0.07400000000000007,0.03700000000000003,0.52,0.268,248,677,23.32,36.65,18.44,3,11
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,forex,4,homing_pigeon,2,downtrend,380,1779,914,26335,0.03799999999999992,0.01899999999999996,0.51,0.207,189,725,28.81,50.29,23.22,3,13
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,forex,5,homing_pigeon,2,downtrend,380,1773,908,30125,0.03500000000000003,0.017500000000000016,0.51,0.173,157,751,33.18,76.48,24.12,3,13
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,stock,1,homing_pigeon,2,downtrend,5103,99227,50606,201283,0.15799999999999997,0.07899999999999999,0.51,0.578,29268,21338,3.98,3.82,4.19,16,9
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,stock,2,homing_pigeon,2,downtrend,5103,97462,49582,373403,0.25,0.125,0.51,0.415,20586,28996,7.53,8.89,6.57,10,15
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,stock,3,homing_pigeon,2,downtrend,5103,96008,48717,536848,0.31100000000000005,0.15550000000000003,0.51,0.327,15923,32794,11.02,15.49,8.85,8,16
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,stock,4,homing_pigeon,2,downtrend,5103,94931,48087,691996,0.3800000000000001,0.19000000000000006,0.51,0.275,13224,34863,14.39,23.72,10.85,8,20
CDLHOMINGPIGEON,bullish,reversal,bullish mean reversion,stock,5,homing_pigeon,2,downtrend,5103,94059,47602,845411,0.43499999999999983,0.21749999999999992,0.51,0.239,11381,36221,17.76,33.41,12.84,5,20
