pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,crypto,1,homing_pigeon,2,downtrend,97,326,202,621,-0.19899999999999995,-0.09949999999999998,0.62,0.401,81,121,3.07,3.21,2.98,3,4
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,crypto,2,homing_pigeon,2,downtrend,97,326,200,891,-0.13,-0.065,0.61,0.29,58,142,4.46,6.34,3.68,3,7
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,crypto,3,homing_pigeon,2,downtrend,97,326,200,1032,0.0,0.0,0.61,0.25,50,150,5.16,8.04,4.2,3,7
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,crypto,4,homing_pigeon,2,downtrend,97,326,200,1254,0.0,0.0,0.61,0.2,40,160,6.27,12.82,4.63,3,7
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,crypto,5,homing_pigeon,2,downtrend,97,326,200,1524,-0.014999999999999902,-0.007499999999999951,0.61,0.165,33,167,7.62,14.91,6.18,2,7
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,forex,1,homing_pigeon,2,downtrend,380,1892,1164,6180,-0.38099999999999995,-0.19049999999999997,0.62,0.309,360,804,5.31,5.52,5.22,4,14
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,forex,2,homing_pigeon,2,downtrend,380,1887,1161,9468,-0.37400000000000005,-0.18700000000000003,0.62,0.208,241,920,8.16,14.29,6.55,3,19
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,forex,3,homing_pigeon,2,downtrend,380,1879,1156,12942,-0.372,-0.186,0.62,0.156,180,976,11.2,22.54,9.1,3,24
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,forex,4,homing_pigeon,2,downtrend,380,1872,1150,15716,-0.362,-0.181,0.61,0.127,146,1004,13.67,32.02,11.0,3,24
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,forex,5,homing_pigeon,2,downtrend,380,1867,1146,18674,-0.32999999999999996,-0.16499999999999998,0.61,0.112,128,1018,16.29,49.3,12.14,3,24
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,stock,1,homing_pigeon,2,downtrend,5103,100760,67500,178068,-0.14099999999999996,-0.07049999999999998,0.67,0.429,28989,38511,2.64,2.89,2.45,9,16
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,stock,2,homing_pigeon,2,downtrend,5103,99927,66898,285473,-0.061999999999999944,-0.030999999999999972,0.67,0.314,20977,45921,4.27,5.9,3.52,6,20
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,stock,3,homing_pigeon,2,downtrend,5103,99142,66333,392035,0.0,0.0,0.67,0.25,16569,49764,5.91,9.94,4.57,5,23
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,stock,4,homing_pigeon,2,downtrend,5103,98491,65854,493344,0.04999999999999993,0.024999999999999967,0.67,0.21,13828,52026,7.49,14.76,5.56,4,27
CDLHOMINGPIGEON,bullish,reversal,bullish reversal,stock,5,homing_pigeon,2,downtrend,5103,97878,65436,594934,0.08999999999999997,0.044999999999999984,0.67,0.182,11921,53515,9.09,20.32,6.59,4,31
