pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,crypto,1,identical_three_crows,3,uptrend,75,229,214,214,-0.976,-0.3253333333333333,0.93,0.014,3,211,1.0,1.0,1.0,1,9
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,crypto,2,identical_three_crows,3,uptrend,75,229,214,214,-0.962,-0.32066666666666666,0.93,0.014,3,211,1.0,1.0,1.0,1,9
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,crypto,3,identical_three_crows,3,uptrend,75,229,214,214,-0.948,-0.316,0.93,0.014,3,211,1.0,1.0,1.0,1,9
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,crypto,4,identical_three_crows,3,uptrend,75,229,214,214,-0.9339999999999999,-0.3113333333333333,0.93,0.014,3,211,1.0,1.0,1.0,1,9
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,crypto,5,identical_three_crows,3,uptrend,75,229,214,214,-0.9199999999999999,-0.30666666666666664,0.93,0.014,3,211,1.0,1.0,1.0,1,9
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,forex,1,identical_three_crows,3,uptrend,518,6877,4691,4706,-0.996,-0.332,0.68,0.004,20,4671,1.0,1.05,1.0,1,44
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,forex,2,identical_three_crows,3,uptrend,518,6877,4691,4706,-0.992,-0.33066666666666666,0.68,0.004,20,4671,1.0,1.05,1.0,1,44
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,forex,3,identical_three_crows,3,uptrend,518,6877,4691,4713,-0.988,-0.3293333333333333,0.68,0.004,18,4673,1.0,1.28,1.0,1,44
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,forex,4,identical_three_crows,3,uptrend,518,6877,4691,4720,-0.984,-0.328,0.68,0.004,17,4674,1.01,1.29,1.01,0,44
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,forex,5,identical_three_crows,3,uptrend,518,6877,4691,4738,-0.985,-0.3283333333333333,0.68,0.003,16,4675,1.01,2.25,1.01,0,44
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,stock,1,identical_three_crows,3,uptrend,121,268,244,244,-0.978,-0.326,0.91,0.012,3,241,1.0,1.0,1.0,1,4
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,stock,2,identical_three_crows,3,uptrend,121,268,244,244,-0.966,-0.322,0.91,0.012,3,241,1.0,1.0,1.0,1,4
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,stock,3,identical_three_crows,3,uptrend,121,268,244,244,-0.954,-0.318,0.91,0.012,3,241,1.0,1.0,1.0,1,4
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,stock,4,identical_three_crows,3,uptrend,121,268,244,245,-0.942,-0.314,0.91,0.012,3,241,1.0,1.33,1.0,1,4
CDLIDENTICAL3CROWS,bearish,reversal,bullish continuation,stock,5,identical_three_crows,3,uptrend,121,268,244,245,-0.9299999999999999,-0.31,0.91,0.012,3,241,1.0,1.33,1.0,1,4
