pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLINNECK,bearish,continuation,bearish continuation,forex,1,in_neck,2,downtrend,2,3,3,25,-1.0,-0.5,1.0,0.0,0,3,8.33,,8.33,0,2
CDLINNECK,bearish,continuation,bearish continuation,forex,2,in_neck,2,downtrend,2,3,3,25,-1.0,-0.5,1.0,0.0,0,3,8.33,,8.33,0,2
CDLINNECK,bearish,continuation,bearish continuation,forex,3,in_neck,2,downtrend,2,3,3,25,-1.0,-0.5,1.0,0.0,0,3,8.33,,8.33,0,2
CDLINNECK,bearish,continuation,bearish continuation,forex,4,in_neck,2,downtrend,2,3,3,25,-1.0,-0.5,1.0,0.0,0,3,8.33,,8.33,0,2
CDLINNECK,bearish,continuation,bearish continuation,forex,5,in_neck,2,downtrend,2,3,3,25,-1.0,-0.5,1.0,0.0,0,3,8.33,,8.33,0,2
CDLINNECK,bearish,continuation,bearish continuation,stock,1,in_neck,2,downtrend,3123,13374,7244,56593,-0.05700000000000005,-0.028500000000000025,0.54,0.473,3424,3820,7.81,7.66,7.95,7,8
CDLINNECK,bearish,continuation,bearish continuation,stock,2,in_neck,2,downtrend,3123,13268,7169,104959,-0.08999999999999997,-0.044999999999999984,0.54,0.305,2186,4983,14.64,20.08,12.25,6,8
CDLINNECK,bearish,continuation,bearish continuation,stock,3,in_neck,2,downtrend,3123,13190,7105,147633,-0.11699999999999999,-0.058499999999999996,0.54,0.221,1567,5538,20.78,31.38,17.78,5,8
CDLINNECK,bearish,continuation,bearish continuation,stock,4,in_neck,2,downtrend,3123,13109,7048,192452,-0.1499999999999999,-0.07499999999999996,0.54,0.17,1198,5850,27.31,47.09,23.25,4,8
CDLINNECK,bearish,continuation,bearish continuation,stock,5,in_neck,2,downtrend,3123,13063,7009,233330,-0.20999999999999996,-0.10499999999999998,0.54,0.132,922,6087,33.29,67.05,28.18,3,8
