pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,crypto,1,inverted_hammer,1,downtrend,176,1021,989,1051,-0.34400000000000003,-0.34400000000000003,0.97,0.326,322,667,1.06,1.11,1.04,7,11
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,crypto,2,inverted_hammer,1,downtrend,176,1021,989,1073,-0.040000000000000036,-0.040000000000000036,0.97,0.32,316,673,1.08,1.15,1.05,7,11
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,crypto,3,inverted_hammer,1,downtrend,176,1021,989,1085,0.246,0.246,0.97,0.312,309,680,1.1,1.16,1.07,7,11
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,crypto,4,inverted_hammer,1,downtrend,176,1020,988,1132,0.504,0.504,0.97,0.301,297,691,1.15,1.18,1.13,6,11
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,crypto,5,inverted_hammer,1,downtrend,176,1019,987,1153,0.7549999999999999,0.7549999999999999,0.97,0.293,289,698,1.17,1.19,1.16,6,11
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,forex,1,inverted_hammer,1,downtrend,697,4449,4331,7474,-0.30300000000000005,-0.30300000000000005,0.97,0.347,1503,2828,1.73,1.78,1.69,19,12
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,forex,2,inverted_hammer,1,downtrend,697,4449,4330,7634,-0.008000000000000007,-0.008000000000000007,0.97,0.331,1433,2897,1.76,1.85,1.72,19,15
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,forex,3,inverted_hammer,1,downtrend,697,4447,4328,7814,0.2859999999999999,0.2859999999999999,0.97,0.322,1395,2933,1.81,1.92,1.75,19,15
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,forex,4,inverted_hammer,1,downtrend,697,4447,4328,8070,0.542,0.542,0.97,0.308,1333,2995,1.86,2.02,1.8,19,15
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,forex,5,inverted_hammer,1,downtrend,697,4447,4327,8389,0.76,0.76,0.97,0.294,1274,3053,1.94,2.2,1.83,19,30
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,stock,1,inverted_hammer,1,downtrend,5725,179791,168420,196527,-0.321,-0.321,0.94,0.339,57042,111378,1.17,1.24,1.13,8,30
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,stock,2,inverted_hammer,1,downtrend,5725,179514,168154,208435,-0.038000000000000034,-0.038000000000000034,0.94,0.321,54041,114113,1.24,1.36,1.18,7,30
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,stock,3,inverted_hammer,1,downtrend,5725,179257,167902,221173,0.21500000000000008,0.21500000000000008,0.94,0.305,51236,116666,1.32,1.49,1.24,7,30
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,stock,4,inverted_hammer,1,downtrend,5725,178975,167622,234506,0.45399999999999996,0.45399999999999996,0.94,0.291,48795,118827,1.4,1.63,1.3,7,30
CDLINVERTEDHAMMER,bullish,reversal,bullish reversal,stock,5,inverted_hammer,1,downtrend,5725,178745,167397,248124,0.675,0.675,0.94,0.279,46756,120641,1.48,1.78,1.37,5,30
