pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,1,long_legged_doji,1,none,256,23856,13274,42825,0.018000000000000016,0.018000000000000016,0.56,0.508,6740,6534,3.23,3.41,3.04,78,8
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,2,long_legged_doji,1,none,256,19173,10523,71414,0.016000000000000014,0.016000000000000014,0.55,0.338,3553,6970,6.79,8.41,5.96,46,13
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,3,long_legged_doji,1,none,256,15539,8370,94457,-0.040000000000000036,-0.040000000000000036,0.54,0.24,2008,6362,11.29,15.62,9.92,29,18
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,4,long_legged_doji,1,none,256,12711,6745,106768,-0.10799999999999998,-0.10799999999999998,0.53,0.178,1198,5547,15.83,21.76,14.55,19,25
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,5,long_legged_doji,1,none,256,10934,5734,110200,-0.20999999999999996,-0.20999999999999996,0.52,0.132,758,4976,19.22,33.39,17.06,16,30
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,1,long_legged_doji,1,none,1220,338166,200250,729993,0.0050000000000000044,0.0050000000000000044,0.59,0.505,101085,99165,3.65,4.22,3.05,263,12
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,2,long_legged_doji,1,none,1220,272318,160474,1117167,0.04599999999999993,0.04599999999999993,0.59,0.348,55861,104613,6.96,9.39,5.66,137,17
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,3,long_legged_doji,1,none,1220,239619,139910,1359664,0.049000000000000044,0.049000000000000044,0.58,0.263,36865,103045,9.72,15.48,7.66,96,20
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,4,long_legged_doji,1,none,1220,215363,124800,1531714,0.04999999999999993,0.04999999999999993,0.58,0.21,26260,98540,12.27,22.57,9.53,73,42
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,5,long_legged_doji,1,none,1220,197533,113441,1657535,0.039999999999999925,0.039999999999999925,0.57,0.174,19788,93653,14.61,31.18,11.11,53,46
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,1,long_legged_doji,1,none,6472,1540194,893877,2691678,0.09600000000000003,0.09600000000000003,0.58,0.546,488337,405540,3.01,2.92,3.12,226,13
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,2,long_legged_doji,1,none,6472,1347235,779461,4229894,0.132,0.132,0.58,0.376,292978,486483,5.43,6.21,4.95,137,17
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,3,long_legged_doji,1,none,6472,1201194,693203,5408299,0.1200000000000001,0.1200000000000001,0.58,0.28,194249,498954,7.8,10.54,6.74,101,35
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,4,long_legged_doji,1,none,6472,1090974,628423,6273646,0.09999999999999998,0.09999999999999998,0.58,0.22,138295,490128,9.98,15.62,8.39,72,51
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,5,long_legged_doji,1,none,6472,996774,573411,6973601,0.07999999999999996,0.07999999999999996,0.58,0.18,103030,470381,12.16,21.8,10.05,61,51
