pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,1,long_legged_doji,1,none,256,28297,26982,63945,-0.13699999999999996,-0.13699999999999996,0.95,0.433,11675,15307,2.37,2.27,2.45,269,12
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,2,long_legged_doji,1,none,256,23302,22193,84907,0.029999999999999916,0.029999999999999916,0.95,0.345,7660,14533,3.83,3.62,3.94,239,25
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,3,long_legged_doji,1,none,256,19527,18565,100786,0.15100000000000002,0.15100000000000002,0.95,0.287,5327,13238,5.43,5.52,5.39,220,27
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,4,long_legged_doji,1,none,256,16826,15965,107929,0.23399999999999999,0.23399999999999999,0.95,0.246,3934,12031,6.76,7.48,6.53,207,35
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,5,long_legged_doji,1,none,256,14477,13681,113441,0.31499999999999995,0.31499999999999995,0.95,0.219,2996,10685,8.29,8.92,8.12,201,45
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,1,long_legged_doji,1,none,1220,460645,438168,771523,-0.20399999999999996,-0.20399999999999996,0.95,0.396,173675,264493,1.76,1.89,1.67,1663,27
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,2,long_legged_doji,1,none,1220,417522,396818,952491,-0.0040000000000000036,-0.0040000000000000036,0.95,0.333,131996,264822,2.4,2.8,2.2,1645,50
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,3,long_legged_doji,1,none,1220,382326,362791,1103225,0.1479999999999999,0.1479999999999999,0.95,0.286,103866,258925,3.04,3.85,2.72,1632,50
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,4,long_legged_doji,1,none,1220,358082,339244,1229460,0.28,0.28,0.95,0.255,86655,252589,3.62,4.97,3.16,1623,50
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,5,long_legged_doji,1,none,1220,336852,318685,1344783,0.3900000000000001,0.3900000000000001,0.95,0.232,73912,244773,4.22,6.28,3.6,1619,50
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,1,long_legged_doji,1,none,6472,1992673,1804278,2874481,-0.176,-0.176,0.91,0.414,747438,1056840,1.59,1.69,1.52,446,26
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,2,long_legged_doji,1,none,6472,1834509,1659509,3724095,-0.010000000000000009,-0.010000000000000009,0.9,0.33,546977,1112532,2.24,2.68,2.03,337,26
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,3,long_legged_doji,1,none,6472,1708236,1544121,4456245,0.08600000000000008,0.08600000000000008,0.9,0.272,420585,1123536,2.89,3.82,2.54,271,37
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,4,long_legged_doji,1,none,6472,1603689,1448955,5093948,0.15800000000000003,0.15800000000000003,0.9,0.232,336879,1112076,3.52,5.14,3.02,216,36
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,5,long_legged_doji,1,none,6472,1512148,1365631,5635017,0.21500000000000008,0.21500000000000008,0.9,0.203,277143,1088488,4.13,6.52,3.52,187,61
