pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,1,long_legged_doji,1,none,256,22543,14876,61824,-0.21599999999999997,-0.21599999999999997,0.66,0.394,5866,9010,4.16,4.2,4.12,71,19
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,2,long_legged_doji,1,none,256,18183,11998,87943,-0.19199999999999995,-0.19199999999999995,0.66,0.269,3229,8769,7.33,8.79,6.79,40,21
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,3,long_legged_doji,1,none,256,14302,9354,102335,-0.19700000000000006,-0.19700000000000006,0.65,0.201,1879,7475,10.94,15.16,9.88,28,23
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,4,long_legged_doji,1,none,256,11743,7615,112022,-0.21599999999999997,-0.21599999999999997,0.65,0.156,1187,6428,14.71,23.53,13.08,21,36
CDLLONGLEGGEDDOJI,bullish,,bearish,crypto,5,long_legged_doji,1,none,256,9560,6156,117296,-0.275,-0.275,0.64,0.121,744,5412,19.05,32.06,17.27,16,36
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,1,long_legged_doji,1,none,1220,368209,245637,714734,-0.35700000000000004,-0.35700000000000004,0.67,0.323,79443,166194,2.91,3.63,2.56,334,43
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,2,long_legged_doji,1,none,1220,329620,220559,987768,-0.28200000000000003,-0.28200000000000003,0.67,0.239,52782,167777,4.48,6.97,3.7,302,77
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,3,long_legged_doji,1,none,1220,300435,201086,1203493,-0.2370000000000001,-0.2370000000000001,0.67,0.191,38477,162609,5.98,11.06,4.78,252,195
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,4,long_legged_doji,1,none,1220,277236,185295,1368104,-0.20799999999999996,-0.20799999999999996,0.67,0.158,29290,156005,7.38,15.9,5.79,210,195
CDLLONGLEGGEDDOJI,bullish,,bearish,forex,5,long_legged_doji,1,none,1220,258061,172195,1507107,-0.18499999999999994,-0.18499999999999994,0.67,0.135,23285,148910,8.75,21.7,6.73,141,195
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,1,long_legged_doji,1,none,6472,1660446,1127982,2936610,-0.16499999999999998,-0.16499999999999998,0.68,0.415,467657,660325,2.6,2.86,2.42,249,19
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,2,long_legged_doji,1,none,6472,1487315,1011844,4215669,-0.136,-0.136,0.68,0.287,290694,721150,4.17,5.66,3.56,188,27
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,3,long_legged_doji,1,none,6472,1351118,919542,5212349,-0.129,-0.129,0.68,0.217,199860,719682,5.67,9.25,4.67,153,41
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,4,long_legged_doji,1,none,6472,1235477,841381,6032341,-0.138,-0.138,0.68,0.173,145642,695739,7.17,13.64,5.81,129,45
CDLLONGLEGGEDDOJI,bullish,,bearish,stock,5,long_legged_doji,1,none,6472,1141376,777323,6667994,-0.14500000000000002,-0.14500000000000002,0.68,0.143,110997,666326,8.58,18.75,6.88,110,58
