pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,1,long_legged_doji,1,none,256,21259,12283,55960,0.08100000000000002,0.08100000000000002,0.58,0.541,6642,5641,4.56,4.92,4.13,14,8
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,2,long_legged_doji,1,none,256,17544,10074,80145,0.19200000000000006,0.19200000000000006,0.57,0.396,3985,6089,7.96,10.02,6.6,8,13
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,3,long_legged_doji,1,none,256,15622,8922,94654,0.2739999999999999,0.2739999999999999,0.57,0.318,2837,6085,10.61,15.64,8.26,4,13
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,4,long_legged_doji,1,none,256,14516,8243,101826,0.3460000000000001,0.3460000000000001,0.57,0.269,2218,6025,12.35,20.11,9.5,4,15
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,5,long_legged_doji,1,none,256,13677,7695,107248,0.385,0.385,0.56,0.231,1776,5919,13.94,25.17,10.57,3,20
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,1,long_legged_doji,1,none,1220,349309,204675,646514,-0.07600000000000001,-0.07600000000000001,0.59,0.464,94925,109750,3.16,3.64,2.75,18,23
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,2,long_legged_doji,1,none,1220,286586,166245,1029107,-0.06599999999999995,-0.06599999999999995,0.58,0.312,51805,114440,6.19,8.54,5.13,7,37
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,3,long_legged_doji,1,none,1220,256836,147450,1268547,-0.07399999999999995,-0.07399999999999995,0.57,0.232,34173,113277,8.6,14.63,6.78,5,48
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,4,long_legged_doji,1,none,1220,234884,133871,1439174,-0.08399999999999996,-0.08399999999999996,0.57,0.184,24682,109189,10.75,21.19,8.39,4,114
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,5,long_legged_doji,1,none,1220,216637,122600,1578195,-0.08499999999999996,-0.08499999999999996,0.57,0.153,18810,103790,12.87,29.55,9.85,3,140
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,1,long_legged_doji,1,none,6472,1535363,888546,2720512,0.10300000000000004,0.10300000000000004,0.58,0.553,491679,396867,3.06,3.03,3.1,16,13
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,2,long_legged_doji,1,none,6472,1350766,778038,4190012,0.19400000000000006,0.19400000000000006,0.58,0.397,308695,469343,5.39,6.44,4.69,8,14
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,3,long_legged_doji,1,none,6472,1219492,699652,5310299,0.246,0.246,0.57,0.312,218252,481400,7.59,10.89,6.09,6,24
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,4,long_legged_doji,1,none,6472,1115849,637733,6183729,0.29600000000000004,0.29600000000000004,0.57,0.259,165187,472546,9.7,16.29,7.39,6,24
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,5,long_legged_doji,1,none,6472,1031959,587487,6887151,0.33499999999999996,0.33499999999999996,0.57,0.223,131071,456416,11.72,22.53,8.62,5,34
