pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,1,long_legged_doji,1,none,256,31518,29758,53903,-0.14499999999999996,-0.14499999999999996,0.94,0.425,12643,17115,1.81,1.96,1.7,10,9
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,2,long_legged_doji,1,none,256,28267,26638,67769,0.041999999999999926,0.041999999999999926,0.94,0.346,9204,17434,2.54,3.01,2.3,10,16
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,3,long_legged_doji,1,none,256,26233,24659,76770,0.18799999999999994,0.18799999999999994,0.94,0.296,7302,17357,3.11,3.97,2.75,10,18
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,4,long_legged_doji,1,none,256,24555,23054,83806,0.30800000000000005,0.30800000000000005,0.94,0.262,6040,17014,3.64,5.05,3.13,10,23
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,5,long_legged_doji,1,none,256,23412,21947,89701,0.42999999999999994,0.42999999999999994,0.94,0.238,5215,16732,4.09,6.05,3.48,10,23
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,1,long_legged_doji,1,none,1220,418653,396277,878549,-0.276,-0.276,0.95,0.364,144326,251951,2.22,2.21,2.22,119,51
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,2,long_legged_doji,1,none,1220,373949,353388,1080766,-0.124,-0.124,0.95,0.293,103541,249847,3.06,3.42,2.91,119,63
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,3,long_legged_doji,1,none,1220,343967,324591,1244949,-0.0030000000000000027,-0.0030000000000000027,0.94,0.249,80861,243730,3.84,4.8,3.52,119,63
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,4,long_legged_doji,1,none,1220,321140,302568,1377600,0.09999999999999998,0.09999999999999998,0.94,0.22,66439,236129,4.55,6.23,4.08,119,161
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,5,long_legged_doji,1,none,1220,302796,284814,1483128,0.19500000000000006,0.19500000000000006,0.94,0.199,56667,228147,5.21,7.74,4.58,119,159
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,1,long_legged_doji,1,none,6472,1982415,1805167,2925487,-0.16199999999999998,-0.16199999999999998,0.91,0.418,754575,1050592,1.62,1.72,1.55,14,20
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,2,long_legged_doji,1,none,6472,1828222,1663196,3780004,0.01200000000000001,0.01200000000000001,0.91,0.336,559029,1104167,2.27,2.77,2.02,12,22
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,3,long_legged_doji,1,none,6472,1709707,1554009,4525191,0.129,0.129,0.91,0.283,439124,1114885,2.91,4.05,2.46,8,23
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,4,long_legged_doji,1,none,6472,1611621,1463608,5161477,0.21999999999999997,0.21999999999999997,0.91,0.245,359236,1104372,3.53,5.52,2.88,10,32
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,5,long_legged_doji,1,none,6472,1525277,1384222,5728371,0.31000000000000005,0.31000000000000005,0.91,0.218,302186,1082036,4.14,7.2,3.28,14,33
