pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,1,long_legged_doji,1,none,256,25205,15946,46243,-0.19699999999999995,-0.19699999999999995,0.63,0.403,6424,9522,2.9,3.17,2.72,5,16
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,2,long_legged_doji,1,none,256,22918,14465,62354,-0.10799999999999998,-0.10799999999999998,0.63,0.296,4285,10180,4.31,5.89,3.65,3,29
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,3,long_legged_doji,1,none,256,21290,13420,73545,-0.04300000000000004,-0.04300000000000004,0.63,0.239,3203,10217,5.48,8.68,4.48,3,28
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,4,long_legged_doji,1,none,256,20072,12655,82394,0.008000000000000007,0.008000000000000007,0.63,0.202,2553,10102,6.51,11.37,5.28,2,27
CDLLONGLEGGEDDOJI,bullish,,bullish,crypto,5,long_legged_doji,1,none,256,19228,12080,88920,0.06500000000000006,0.06500000000000006,0.63,0.177,2142,9938,7.36,14.12,5.9,2,35
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,1,long_legged_doji,1,none,1220,356328,241629,810194,-0.39899999999999997,-0.39899999999999997,0.68,0.301,72714,168915,3.35,4.07,3.04,19,85
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,2,long_legged_doji,1,none,1220,317149,215244,1086164,-0.36200000000000004,-0.36200000000000004,0.68,0.214,46118,169126,5.05,7.76,4.31,9,191
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,3,long_legged_doji,1,none,1220,289465,196244,1290692,-0.32299999999999995,-0.32299999999999995,0.68,0.169,33189,163055,6.58,12.43,5.39,9,207
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,4,long_legged_doji,1,none,1220,268010,181255,1449775,-0.29999999999999993,-0.29999999999999993,0.68,0.14,25440,155815,8.0,17.85,6.39,9,208
CDLLONGLEGGEDDOJI,bullish,,bullish,forex,5,long_legged_doji,1,none,1220,250524,168969,1568005,-0.275,-0.275,0.67,0.121,20483,148486,9.28,23.69,7.29,9,208
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,1,long_legged_doji,1,none,6472,1672177,1163431,2933762,-0.13899999999999996,-0.13899999999999996,0.7,0.431,501421,662010,2.52,2.74,2.35,12,18
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,2,long_legged_doji,1,none,6472,1509499,1050134,4190906,-0.06399999999999995,-0.06399999999999995,0.7,0.313,329146,720988,3.99,5.41,3.34,7,35
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,3,long_legged_doji,1,none,6472,1382438,960770,5188072,0.0,0.0,0.69,0.25,239746,721024,5.4,8.84,4.26,5,35
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,4,long_legged_doji,1,none,6472,1278306,887254,5998391,0.04599999999999993,0.04599999999999993,0.69,0.209,185452,701802,6.76,12.96,5.12,5,35
CDLLONGLEGGEDDOJI,bullish,,bullish,stock,5,long_legged_doji,1,none,6472,1190285,825301,6679104,0.08500000000000008,0.08500000000000008,0.69,0.181,149538,675763,8.09,17.75,5.96,3,44
