pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,crypto,1,morning_star,3,downtrend,62,181,41,272,0.264,0.08800000000000001,0.23,0.634,26,15,6.63,7.42,5.27,2,2
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,crypto,2,morning_star,3,downtrend,62,181,33,313,-0.09399999999999997,-0.031333333333333324,0.18,0.303,10,23,9.48,9.6,9.43,1,2
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,crypto,3,morning_star,3,downtrend,62,180,33,520,-0.03400000000000003,-0.011333333333333343,0.18,0.242,8,25,15.76,18.5,14.88,1,2
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,crypto,4,morning_star,3,downtrend,62,180,33,549,0.05799999999999994,0.019333333333333313,0.18,0.212,7,26,16.64,21.29,15.38,1,2
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,crypto,5,morning_star,3,downtrend,62,180,33,564,0.27,0.09000000000000001,0.18,0.212,7,26,17.09,23.43,15.38,1,2
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,forex,1,morning_star,3,downtrend,506,2169,397,1433,0.277,0.09233333333333334,0.18,0.637,253,144,3.61,3.51,3.79,4,3
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,forex,2,morning_star,3,downtrend,506,2163,394,3790,0.262,0.08733333333333333,0.18,0.421,166,228,9.62,12.17,7.76,3,3
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,forex,3,morning_star,3,downtrend,506,2160,394,6903,0.1170000000000001,0.039000000000000035,0.18,0.279,110,284,17.52,27.82,13.53,2,3
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,forex,4,morning_star,3,downtrend,506,2157,393,8970,0.05399999999999994,0.017999999999999978,0.18,0.211,83,310,22.82,36.7,19.11,2,3
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,forex,5,morning_star,3,downtrend,506,2156,392,11130,0.14500000000000002,0.04833333333333334,0.18,0.191,75,317,28.39,59.01,21.15,2,4
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,stock,1,morning_star,3,downtrend,4034,31846,6351,23235,0.184,0.06133333333333333,0.2,0.594,3773,2578,3.66,3.46,3.94,7,5
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,stock,2,morning_star,3,downtrend,4034,31720,6309,45828,0.23199999999999998,0.07733333333333332,0.2,0.411,2593,3716,7.26,8.59,6.34,5,6
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,stock,3,morning_star,3,downtrend,4034,31667,6287,69568,0.30799999999999994,0.10266666666666664,0.2,0.326,2047,4240,11.07,16.69,8.35,5,6
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,stock,4,morning_star,3,downtrend,4034,31624,6267,94107,0.31200000000000006,0.10400000000000002,0.2,0.263,1648,4619,15.02,26.63,10.87,4,8
CDLMORNINGSTAR,bullish,reversal,bullish mean reversion,stock,5,morning_star,3,downtrend,4034,31592,6249,118102,0.3400000000000001,0.11333333333333336,0.2,0.224,1401,4848,18.9,39.33,12.99,4,8
