pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLONNECK,bearish,continuation,bullish reversal,forex,1,on_neck,2,downtrend,3,6,4,8,-1.0,-0.5,0.67,0.0,0,4,2.0,,2.0,0,2
CDLONNECK,bearish,continuation,bullish reversal,forex,2,on_neck,2,downtrend,3,6,4,8,-1.0,-0.5,0.67,0.0,0,4,2.0,,2.0,0,2
CDLONNECK,bearish,continuation,bullish reversal,forex,3,on_neck,2,downtrend,3,6,4,8,-1.0,-0.5,0.67,0.0,0,4,2.0,,2.0,0,2
CDLONNECK,bearish,continuation,bullish reversal,forex,4,on_neck,2,downtrend,3,6,4,8,-1.0,-0.5,0.67,0.0,0,4,2.0,,2.0,0,2
CDLONNECK,bearish,continuation,bullish reversal,forex,5,on_neck,2,downtrend,3,6,4,8,-1.0,-0.5,0.67,0.0,0,4,2.0,,2.0,0,2
CDLONNECK,bearish,continuation,bullish reversal,stock,1,on_neck,2,downtrend,3699,22139,16297,20549,-0.525,-0.2625,0.74,0.235,3823,12474,1.26,1.54,1.18,6,12
CDLONNECK,bearish,continuation,bullish reversal,stock,2,on_neck,2,downtrend,3699,22133,16291,24685,-0.40800000000000003,-0.20400000000000001,0.74,0.196,3201,13090,1.52,2.22,1.34,6,12
CDLONNECK,bearish,continuation,bullish reversal,stock,3,on_neck,2,downtrend,3699,22127,16287,28970,-0.32299999999999995,-0.16149999999999998,0.74,0.169,2747,13540,1.78,3.07,1.52,6,12
CDLONNECK,bearish,continuation,bullish reversal,stock,4,on_neck,2,downtrend,3699,22126,16286,32855,-0.238,-0.119,0.74,0.153,2489,13797,2.02,3.98,1.66,6,12
CDLONNECK,bearish,continuation,bullish reversal,stock,5,on_neck,2,downtrend,3699,22124,16282,37044,-0.16999999999999993,-0.08499999999999996,0.74,0.138,2243,14039,2.28,5.12,1.82,6,12
