pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLPIERCING,bullish,reversal,bullish mean reversion,forex,1,piercing,2,downtrend,22,54,17,77,-0.05900000000000005,-0.029500000000000026,0.31,0.471,8,9,4.53,2.0,6.78,2,1
CDLPIERCING,bullish,reversal,bullish mean reversion,forex,2,piercing,2,downtrend,22,54,17,119,-0.46799999999999997,-0.23399999999999999,0.31,0.176,3,14,7.0,5.0,7.43,1,2
CDLPIERCING,bullish,reversal,bullish mean reversion,forex,3,piercing,2,downtrend,22,54,17,132,-0.2919999999999999,-0.14599999999999996,0.31,0.176,3,14,7.76,9.33,7.43,1,2
CDLPIERCING,bullish,reversal,bullish mean reversion,forex,4,piercing,2,downtrend,22,54,17,136,-0.11599999999999999,-0.057999999999999996,0.31,0.176,3,14,8.0,10.67,7.43,1,2
CDLPIERCING,bullish,reversal,bullish mean reversion,forex,5,piercing,2,downtrend,22,54,17,144,0.05999999999999994,0.02999999999999997,0.31,0.176,3,14,8.47,13.33,7.43,1,2
CDLPIERCING,bullish,reversal,bullish mean reversion,stock,1,piercing,2,downtrend,3541,21426,6895,27372,0.243,0.1215,0.32,0.623,4298,2597,3.97,3.76,4.31,7,6
CDLPIERCING,bullish,reversal,bullish mean reversion,stock,2,piercing,2,downtrend,3541,21323,6836,60954,0.30999999999999994,0.15499999999999997,0.32,0.435,2971,3865,8.92,10.15,7.97,5,7
CDLPIERCING,bullish,reversal,bullish mean reversion,stock,3,piercing,2,downtrend,3541,21279,6809,93057,0.3450000000000001,0.17250000000000004,0.32,0.335,2280,4529,13.67,19.75,10.61,4,7
CDLPIERCING,bullish,reversal,bullish mean reversion,stock,4,piercing,2,downtrend,3541,21244,6785,122931,0.3920000000000001,0.19600000000000006,0.32,0.278,1888,4897,18.12,30.38,13.39,3,7
CDLPIERCING,bullish,reversal,bullish mean reversion,stock,5,piercing,2,downtrend,3541,21214,6765,153566,0.42999999999999994,0.21499999999999997,0.32,0.238,1607,5158,22.7,43.48,16.23,3,8
