pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRICKSHAWMAN,bullish,,bearish,crypto,1,rickshaw_man,1,none,251,19890,19487,28838,-0.15799999999999997,-0.15799999999999997,0.98,0.422,8230,11257,1.48,1.55,1.42,131,10
CDLRICKSHAWMAN,bullish,,bearish,crypto,2,rickshaw_man,1,none,251,18017,17637,40681,-0.040000000000000036,-0.040000000000000036,0.98,0.32,5638,11999,2.31,2.66,2.14,90,18
CDLRICKSHAWMAN,bullish,,bearish,crypto,3,rickshaw_man,1,none,251,16632,16257,51150,0.009000000000000008,0.009000000000000008,0.98,0.253,4112,12145,3.15,4.48,2.7,68,36
CDLRICKSHAWMAN,bullish,,bearish,crypto,4,rickshaw_man,1,none,251,15108,14751,61689,0.03399999999999992,0.03399999999999992,0.98,0.206,3044,11707,4.18,6.21,3.66,54,48
CDLRICKSHAWMAN,bullish,,bearish,crypto,5,rickshaw_man,1,none,251,13916,13557,68789,0.029999999999999916,0.029999999999999916,0.97,0.172,2328,11229,5.07,8.74,4.31,45,36
CDLRICKSHAWMAN,bullish,,bearish,forex,1,rickshaw_man,1,none,1116,242452,238138,343045,-0.21799999999999997,-0.21799999999999997,0.98,0.392,93316,144822,1.44,1.56,1.37,777,24
CDLRICKSHAWMAN,bullish,,bearish,forex,2,rickshaw_man,1,none,1116,227718,223534,441244,-0.07799999999999996,-0.07799999999999996,0.98,0.306,68391,155143,1.97,2.45,1.76,542,27
CDLRICKSHAWMAN,bullish,,bearish,forex,3,rickshaw_man,1,none,1116,217264,213168,537484,-0.0030000000000000027,-0.0030000000000000027,0.98,0.249,53014,160154,2.52,3.65,2.15,382,38
CDLRICKSHAWMAN,bullish,,bearish,forex,4,rickshaw_man,1,none,1116,209246,205212,626667,0.04599999999999993,0.04599999999999993,0.98,0.209,42934,162278,3.05,4.99,2.54,319,210
CDLRICKSHAWMAN,bullish,,bearish,forex,5,rickshaw_man,1,none,1116,201763,197817,706882,0.08999999999999997,0.08999999999999997,0.98,0.182,35907,161910,3.57,6.61,2.9,309,210
CDLRICKSHAWMAN,bullish,,bearish,stock,1,rickshaw_man,1,none,6025,1312472,1200553,1664075,-0.16199999999999998,-0.16199999999999998,0.91,0.418,502196,698357,1.39,1.45,1.34,267,22
CDLRICKSHAWMAN,bullish,,bearish,stock,2,rickshaw_man,1,none,6025,1249514,1142208,2161287,-0.030000000000000027,-0.030000000000000027,0.91,0.325,371008,771200,1.89,2.27,1.71,204,24
CDLRICKSHAWMAN,bullish,,bearish,stock,3,rickshaw_man,1,none,6025,1201469,1097768,2646646,0.04300000000000004,0.04300000000000004,0.91,0.261,286824,810944,2.41,3.33,2.09,160,43
CDLRICKSHAWMAN,bullish,,bearish,stock,4,rickshaw_man,1,none,6025,1159533,1059040,3086365,0.08799999999999997,0.08799999999999997,0.91,0.217,230217,828823,2.91,4.6,2.45,136,43
CDLRICKSHAWMAN,bullish,,bearish,stock,5,rickshaw_man,1,none,6025,1121431,1023974,3486297,0.1050000000000001,0.1050000000000001,0.91,0.185,189666,834308,3.4,6.06,2.8,123,49
