pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,crypto,1,rising_three_methods,5,uptrend,1,2,1,1,-1.0,-0.2,0.5,0.0,0,1,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,crypto,2,rising_three_methods,5,uptrend,1,2,1,1,-1.0,-0.2,0.5,0.0,0,1,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,crypto,3,rising_three_methods,5,uptrend,1,2,1,1,-1.0,-0.2,0.5,0.0,0,1,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,crypto,4,rising_three_methods,5,uptrend,1,2,1,1,-1.0,-0.2,0.5,0.0,0,1,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,crypto,5,rising_three_methods,5,uptrend,1,2,1,1,-1.0,-0.2,0.5,0.0,0,1,1.0,,1.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,forex,1,rising_three_methods,5,uptrend,12,27,11,30,-0.6379999999999999,-0.1276,0.41,0.182,2,9,2.73,4.0,2.44,1,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,forex,2,rising_three_methods,5,uptrend,12,27,11,50,-0.728,-0.1456,0.41,0.091,1,10,4.55,19.0,3.1,1,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,forex,3,rising_three_methods,5,uptrend,12,27,11,79,-1.0,-0.2,0.41,0.0,0,11,7.18,,7.18,0,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,forex,4,rising_three_methods,5,uptrend,12,27,11,79,-1.0,-0.2,0.41,0.0,0,11,7.18,,7.18,0,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,forex,5,rising_three_methods,5,uptrend,12,27,11,79,-1.0,-0.2,0.41,0.0,0,11,7.18,,7.18,0,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,stock,1,rising_three_methods,5,uptrend,146,315,99,247,-0.317,-0.0634,0.31,0.343,34,65,2.49,3.06,2.2,3,2
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,stock,2,rising_three_methods,5,uptrend,146,315,99,369,-0.396,-0.0792,0.31,0.202,20,79,3.73,5.8,3.2,2,3
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,stock,3,rising_three_methods,5,uptrend,146,315,99,427,-0.394,-0.07880000000000001,0.31,0.152,15,84,4.31,7.4,3.76,2,3
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,stock,4,rising_three_methods,5,uptrend,146,315,99,597,-0.546,-0.1092,0.31,0.091,9,90,6.03,11.11,5.52,1,3
CDLRISEFALL3METHODS,bullish,continuation,bearish reversal,stock,5,rising_three_methods,5,uptrend,146,315,99,734,-0.515,-0.10300000000000001,0.31,0.081,8,91,7.41,12.25,6.99,1,3
