pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,1,rising_three_methods,5,uptrend,1,2,2,31,1.0,0.2,1.0,1.0,2,0,15.5,15.5,,2,0
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,2,rising_three_methods,5,uptrend,1,2,2,53,-1.0,-0.2,1.0,0.0,0,2,26.5,,26.5,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,3,rising_three_methods,5,uptrend,1,2,2,53,-1.0,-0.2,1.0,0.0,0,2,26.5,,26.5,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,4,rising_three_methods,5,uptrend,1,2,2,53,-1.0,-0.2,1.0,0.0,0,2,26.5,,26.5,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,5,rising_three_methods,5,uptrend,1,2,2,53,-1.0,-0.2,1.0,0.0,0,2,26.5,,26.5,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,1,rising_three_methods,5,uptrend,12,27,27,263,-0.183,-0.0366,1.0,0.407,11,16,9.74,9.91,9.62,2,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,2,rising_three_methods,5,uptrend,12,27,27,401,0.10999999999999999,0.022,1.0,0.37,10,17,14.85,23.7,9.65,2,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,3,rising_three_methods,5,uptrend,12,27,27,781,0.32900000000000007,0.06580000000000001,1.0,0.333,9,18,28.93,51.22,17.78,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,4,rising_three_methods,5,uptrend,12,26,26,1356,0.15400000000000003,0.030800000000000004,1.0,0.231,6,20,52.15,72.17,46.15,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,5,rising_three_methods,5,uptrend,12,26,26,1418,0.385,0.077,1.0,0.231,6,20,54.54,82.5,46.15,0,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,1,rising_three_methods,5,uptrend,146,316,282,2366,0.14399999999999996,0.028799999999999992,0.89,0.574,162,120,8.39,8.31,8.5,3,3
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,2,rising_three_methods,5,uptrend,146,316,282,4302,0.19400000000000006,0.038800000000000015,0.89,0.397,112,170,15.26,19.89,12.2,3,3
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,3,rising_three_methods,5,uptrend,146,314,280,6282,0.2739999999999999,0.05479999999999998,0.89,0.318,89,191,22.44,37.04,15.63,3,4
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,4,rising_three_methods,5,uptrend,146,313,279,8160,0.29200000000000004,0.05840000000000001,0.89,0.258,72,207,29.25,59.83,18.61,3,4
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,5,rising_three_methods,5,uptrend,146,310,275,9939,0.31000000000000005,0.06200000000000001,0.89,0.218,60,215,36.14,85.55,22.35,2,4
