pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,1,rising_three_methods,5,uptrend,1,2,1,39,-1.0,-0.2,0.5,0.0,0,1,39.0,,39.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,2,rising_three_methods,5,uptrend,1,2,1,39,-1.0,-0.2,0.5,0.0,0,1,39.0,,39.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,3,rising_three_methods,5,uptrend,1,2,1,39,-1.0,-0.2,0.5,0.0,0,1,39.0,,39.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,4,rising_three_methods,5,uptrend,1,2,1,39,-1.0,-0.2,0.5,0.0,0,1,39.0,,39.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,crypto,5,rising_three_methods,5,uptrend,1,2,1,39,-1.0,-0.2,0.5,0.0,0,1,39.0,,39.0,0,1
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,1,rising_three_methods,5,uptrend,12,27,23,245,-0.12500000000000006,-0.025000000000000012,0.85,0.435,10,13,10.65,12.9,8.92,2,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,2,rising_three_methods,5,uptrend,12,27,23,585,0.30999999999999994,0.061999999999999986,0.85,0.435,10,13,25.43,46.9,8.92,2,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,3,rising_three_methods,5,uptrend,12,26,22,1130,0.2739999999999999,0.05479999999999998,0.85,0.318,7,15,51.36,112.14,23.0,1,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,4,rising_three_methods,5,uptrend,12,25,22,1657,0.138,0.027600000000000003,0.88,0.227,5,17,75.32,96.6,69.06,1,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,forex,5,rising_three_methods,5,uptrend,12,25,22,1776,0.365,0.073,0.88,0.227,5,17,80.73,120.4,69.06,1,2
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,1,rising_three_methods,5,uptrend,146,316,250,2402,0.11600000000000005,0.02320000000000001,0.79,0.556,139,111,9.61,9.74,9.44,3,3
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,2,rising_three_methods,5,uptrend,146,315,249,4399,0.17800000000000005,0.03560000000000001,0.79,0.394,98,151,17.67,23.01,14.2,3,3
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,3,rising_three_methods,5,uptrend,146,315,249,6299,0.20300000000000007,0.04060000000000001,0.79,0.301,75,174,25.3,39.92,18.99,2,4
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,4,rising_three_methods,5,uptrend,146,312,246,8536,0.242,0.0484,0.79,0.248,61,185,34.7,70.57,22.87,2,4
CDLRISEFALL3METHODS,bullish,continuation,bullish continuation,stock,5,rising_three_methods,5,uptrend,146,310,244,10166,0.30499999999999994,0.060999999999999985,0.79,0.217,53,191,41.66,102.0,24.92,2,4
