pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,crypto,1,shooting_star,1,uptrend,100,356,348,880,0.016000000000000014,0.016000000000000014,0.98,0.506,176,172,2.53,2.25,2.81,7,6
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,crypto,2,shooting_star,1,uptrend,100,355,346,1371,-0.03200000000000003,-0.03200000000000003,0.97,0.324,112,234,3.96,4.96,3.49,4,8
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,crypto,3,shooting_star,1,uptrend,100,352,342,3097,-0.049000000000000044,-0.049000000000000044,0.97,0.237,81,261,9.06,14.77,7.28,4,8
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,crypto,4,shooting_star,1,uptrend,100,350,338,2699,-0.10799999999999998,-0.10799999999999998,0.97,0.178,60,278,7.99,8.98,7.77,4,8
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,crypto,5,shooting_star,1,uptrend,100,349,337,3088,-0.17999999999999994,-0.17999999999999994,0.97,0.136,46,291,9.16,15.46,8.17,2,8
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,forex,1,shooting_star,1,uptrend,494,2525,2462,5965,-0.12400000000000005,-0.12400000000000005,0.98,0.436,1073,1389,2.42,2.9,2.05,13,8
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,forex,2,shooting_star,1,uptrend,494,2519,2455,7904,-0.04400000000000004,-0.04400000000000004,0.97,0.318,780,1675,3.22,3.93,2.89,10,10
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,forex,3,shooting_star,1,uptrend,494,2516,2452,10157,0.028000000000000025,0.028000000000000025,0.97,0.256,627,1825,4.14,6.08,3.48,10,10
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,forex,4,shooting_star,1,uptrend,494,2514,2450,13404,0.03799999999999992,0.03799999999999992,0.97,0.207,506,1944,5.47,9.78,4.35,10,11
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,forex,5,shooting_star,1,uptrend,494,2508,2444,16567,0.025000000000000133,0.025000000000000133,0.97,0.171,417,2027,6.78,14.61,5.17,9,13
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,stock,1,shooting_star,1,uptrend,4631,104990,93039,206312,-0.05700000000000005,-0.05700000000000005,0.89,0.473,44020,49019,2.22,2.19,2.24,50,12
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,stock,2,shooting_star,1,uptrend,4631,104264,92374,320512,0.02400000000000002,0.02400000000000002,0.89,0.342,31603,60771,3.47,4.09,3.15,40,21
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,stock,3,shooting_star,1,uptrend,4631,103536,91703,431301,0.05500000000000005,0.05500000000000005,0.89,0.265,24285,67418,4.7,6.31,4.12,34,27
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,stock,4,shooting_star,1,uptrend,4631,102838,91046,537880,0.08399999999999996,0.08399999999999996,0.89,0.216,19627,71419,5.91,9.25,4.99,29,29
CDLSHOOTINGSTAR,bearish,reversal,bearish reversal,stock,5,shooting_star,1,uptrend,4631,102138,90400,642219,0.07999999999999996,0.07999999999999996,0.89,0.18,16237,74163,7.1,12.23,5.98,27,39
