pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,crypto,1,shooting_star,1,uptrend,100,361,352,381,-0.436,-0.436,0.98,0.284,100,252,1.08,1.11,1.07,2,4
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,crypto,2,shooting_star,1,uptrend,100,361,352,438,-0.278,-0.278,0.98,0.241,85,267,1.24,1.53,1.15,2,5
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,crypto,3,shooting_star,1,uptrend,100,359,350,506,-0.16300000000000003,-0.16300000000000003,0.97,0.209,73,277,1.45,2.27,1.23,2,7
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,crypto,4,shooting_star,1,uptrend,100,359,350,537,-0.05400000000000005,-0.05400000000000005,0.97,0.189,66,284,1.53,2.38,1.34,2,7
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,crypto,5,shooting_star,1,uptrend,100,357,348,576,-0.03499999999999992,-0.03499999999999992,0.97,0.161,56,292,1.66,2.88,1.42,2,7
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,forex,1,shooting_star,1,uptrend,494,2534,2497,3401,-0.238,-0.238,0.99,0.382,953,1544,1.36,1.53,1.26,5,11
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,forex,2,shooting_star,1,uptrend,494,2521,2484,4067,-0.09999999999999998,-0.09999999999999998,0.99,0.3,744,1740,1.64,1.93,1.51,4,11
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,forex,3,shooting_star,1,uptrend,494,2511,2474,4790,-0.009000000000000008,-0.009000000000000008,0.99,0.247,612,1862,1.94,2.72,1.68,4,12
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,forex,4,shooting_star,1,uptrend,494,2504,2467,5447,0.03399999999999992,0.03399999999999992,0.99,0.206,507,1960,2.21,3.46,1.88,3,12
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,forex,5,shooting_star,1,uptrend,494,2501,2464,6192,0.029999999999999916,0.029999999999999916,0.99,0.172,423,2041,2.51,4.35,2.13,3,13
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,stock,1,shooting_star,1,uptrend,4631,108367,99807,114652,-0.30200000000000005,-0.30200000000000005,0.92,0.348,34738,65069,1.15,1.2,1.12,8,25
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,stock,2,shooting_star,1,uptrend,4631,107696,99167,129639,-0.07799999999999996,-0.07799999999999996,0.92,0.306,30377,68790,1.31,1.47,1.24,8,25
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,stock,3,shooting_star,1,uptrend,4631,107003,98512,145305,0.09200000000000008,0.09200000000000008,0.92,0.274,27023,71489,1.47,1.8,1.35,8,25
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,stock,4,shooting_star,1,uptrend,4631,106518,98039,160763,0.246,0.246,0.92,0.249,24381,73658,1.64,2.15,1.47,6,30
CDLSHOOTINGSTAR,bearish,reversal,bullish continuation,stock,5,shooting_star,1,uptrend,4631,106102,97649,176021,0.375,0.375,0.92,0.229,22317,75332,1.8,2.57,1.58,4,31
