pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,crypto,1,stalled,3,uptrend,77,232,225,351,-0.318,-0.106,0.97,0.342,77,148,1.56,1.55,1.57,3,5
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,crypto,2,stalled,3,uptrend,77,232,225,612,-0.132,-0.044000000000000004,0.97,0.289,65,160,2.72,2.63,2.76,3,5
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,crypto,3,stalled,3,uptrend,77,232,225,725,0.009000000000000008,0.0030000000000000027,0.97,0.253,57,168,3.22,2.53,3.46,3,6
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,crypto,4,stalled,3,uptrend,77,232,225,779,0.04599999999999993,0.01533333333333331,0.97,0.209,47,178,3.46,3.15,3.54,3,6
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,crypto,5,stalled,3,uptrend,77,232,224,854,0.07500000000000007,0.025000000000000022,0.97,0.179,40,184,3.81,2.92,4.01,2,6
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,forex,1,stalled,3,uptrend,961,7303,5838,7536,0.15699999999999997,0.05233333333333332,0.8,0.577,3370,2468,1.29,1.24,1.36,24,9
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,forex,2,stalled,3,uptrend,961,7303,5837,9094,0.6200000000000001,0.2066666666666667,0.8,0.54,3150,2687,1.56,1.47,1.66,24,11
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,forex,3,stalled,3,uptrend,961,7303,5836,10897,1.04,0.3466666666666667,0.8,0.51,2977,2859,1.87,1.65,2.09,24,11
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,forex,4,stalled,3,uptrend,961,7303,5836,12614,1.404,0.46799999999999997,0.8,0.481,2809,3027,2.16,1.93,2.37,24,11
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,forex,5,stalled,3,uptrend,961,7303,5836,14504,1.8,0.6,0.8,0.466,2720,3116,2.49,2.13,2.8,24,11
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,stock,1,stalled,3,uptrend,3365,26124,24296,32301,-0.257,-0.08566666666666667,0.93,0.373,9067,15229,1.33,1.4,1.28,14,16
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,stock,2,stalled,3,uptrend,3365,26119,24290,41934,-0.061999999999999944,-0.02066666666666665,0.93,0.314,7619,16671,1.73,2.03,1.59,12,16
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,stock,3,stalled,3,uptrend,3365,26113,24281,52545,0.08300000000000007,0.02766666666666669,0.93,0.271,6570,17711,2.16,2.74,1.95,11,17
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,stock,4,stalled,3,uptrend,3365,26105,24273,63011,0.18799999999999994,0.06266666666666665,0.93,0.237,5764,18509,2.6,3.7,2.25,10,20
CDLSTALLEDPATTERN,bearish,reversal,bearish reversal,stock,5,stalled,3,uptrend,3365,26096,24263,71898,0.29499999999999993,0.09833333333333331,0.93,0.215,5219,19044,2.96,4.39,2.57,9,20
