pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTAKURI,bullish,reversal,bearish mean reversion,crypto,1,takuri,1,downtrend,229,3519,2251,7131,-0.05700000000000005,-0.05700000000000005,0.64,0.473,1065,1186,3.17,3.03,3.29,14,9
CDLTAKURI,bullish,reversal,bearish mean reversion,crypto,2,takuri,1,downtrend,229,3374,2139,12200,-0.04600000000000004,-0.04600000000000004,0.63,0.317,677,1462,5.7,6.26,5.45,11,15
CDLTAKURI,bullish,reversal,bearish mean reversion,crypto,3,takuri,1,downtrend,229,3251,2055,16667,-0.07999999999999996,-0.07999999999999996,0.63,0.23,472,1583,8.11,9.78,7.61,9,18
CDLTAKURI,bullish,reversal,bearish mean reversion,crypto,4,takuri,1,downtrend,229,3166,2002,20014,-0.12,-0.12,0.63,0.175,351,1651,10.0,12.99,9.36,9,18
CDLTAKURI,bullish,reversal,bearish mean reversion,crypto,5,takuri,1,downtrend,229,3035,1944,24669,-0.17499999999999993,-0.17499999999999993,0.64,0.137,266,1678,12.69,18.25,11.81,6,18
CDLTAKURI,bullish,reversal,bearish mean reversion,forex,1,takuri,1,downtrend,1173,50989,36190,115294,-0.16399999999999998,-0.16399999999999998,0.71,0.416,15056,21134,3.19,4.44,2.29,101,19
CDLTAKURI,bullish,reversal,bearish mean reversion,forex,2,takuri,1,downtrend,1173,46446,32923,208514,-0.124,-0.124,0.71,0.293,9654,23269,6.33,10.03,4.8,49,32
CDLTAKURI,bullish,reversal,bearish mean reversion,forex,3,takuri,1,downtrend,1173,44639,31579,265313,-0.08299999999999996,-0.08299999999999996,0.71,0.229,7219,24360,8.4,15.45,6.31,37,32
CDLTAKURI,bullish,reversal,bearish mean reversion,forex,4,takuri,1,downtrend,1173,43460,30708,300415,-0.08799999999999997,-0.08799999999999997,0.71,0.183,5632,25076,9.78,20.87,7.29,33,56
CDLTAKURI,bullish,reversal,bearish mean reversion,forex,5,takuri,1,downtrend,1173,42557,30048,334818,-0.08499999999999996,-0.08499999999999996,0.71,0.153,4588,25460,11.14,26.64,8.35,28,102
CDLTAKURI,bullish,reversal,bearish mean reversion,stock,1,takuri,1,downtrend,5963,156372,100053,299705,0.03500000000000003,0.03500000000000003,0.64,0.515,51523,48530,3.0,2.97,3.02,47,13
CDLTAKURI,bullish,reversal,bearish mean reversion,stock,2,takuri,1,downtrend,5963,150726,96454,496696,0.08199999999999996,0.08199999999999996,0.64,0.361,34822,61632,5.15,6.12,4.6,33,16
CDLTAKURI,bullish,reversal,bearish mean reversion,stock,3,takuri,1,downtrend,5963,146160,93539,702096,0.08900000000000008,0.08900000000000008,0.64,0.273,25510,68029,7.51,10.15,6.51,26,22
CDLTAKURI,bullish,reversal,bearish mean reversion,stock,4,takuri,1,downtrend,5963,142449,91193,861964,0.08799999999999997,0.08799999999999997,0.64,0.217,19809,71384,9.45,14.78,7.97,23,26
CDLTAKURI,bullish,reversal,bearish mean reversion,stock,5,takuri,1,downtrend,5963,139126,89148,1008067,0.07500000000000007,0.07500000000000007,0.64,0.179,15972,73176,11.31,19.85,9.44,18,38
