pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTAKURI,bullish,reversal,bullish reversal,crypto,1,takuri,1,downtrend,229,3646,3112,8515,-0.13999999999999996,-0.13999999999999996,0.85,0.43,1339,1773,2.74,3.38,2.25,6,12
CDLTAKURI,bullish,reversal,bullish reversal,crypto,2,takuri,1,downtrend,229,3566,3033,11523,-0.0040000000000000036,-0.0040000000000000036,0.85,0.333,1010,2023,3.8,5.51,2.94,5,13
CDLTAKURI,bullish,reversal,bullish reversal,crypto,3,takuri,1,downtrend,229,3504,2973,13448,0.08900000000000008,0.08900000000000008,0.85,0.273,811,2162,4.52,7.55,3.39,5,20
CDLTAKURI,bullish,reversal,bullish reversal,crypto,4,takuri,1,downtrend,229,3453,2934,16024,0.16200000000000003,0.16200000000000003,0.85,0.233,684,2250,5.46,9.92,4.11,5,23
CDLTAKURI,bullish,reversal,bullish reversal,crypto,5,takuri,1,downtrend,229,3427,2908,17615,0.21999999999999997,0.21999999999999997,0.85,0.204,592,2316,6.06,11.71,4.61,5,23
CDLTAKURI,bullish,reversal,bullish reversal,forex,1,takuri,1,downtrend,1173,51610,45786,145540,-0.40499999999999997,-0.40499999999999997,0.89,0.295,13500,32286,3.18,3.45,3.07,16,40
CDLTAKURI,bullish,reversal,bullish reversal,forex,2,takuri,1,downtrend,1173,50221,44538,200911,-0.332,-0.332,0.89,0.224,9969,34569,4.51,6.09,4.06,13,48
CDLTAKURI,bullish,reversal,bullish reversal,forex,3,takuri,1,downtrend,1173,49407,43806,243712,-0.2679999999999999,-0.2679999999999999,0.89,0.184,8054,35752,5.56,8.89,4.81,13,113
CDLTAKURI,bullish,reversal,bullish reversal,forex,4,takuri,1,downtrend,1173,48729,43214,278994,-0.21599999999999997,-0.21599999999999997,0.89,0.156,6760,36454,6.46,11.73,5.48,13,113
CDLTAKURI,bullish,reversal,bullish reversal,forex,5,takuri,1,downtrend,1173,48185,42730,302451,-0.17499999999999993,-0.17499999999999993,0.89,0.137,5870,36860,7.08,14.27,5.93,11,113
CDLTAKURI,bullish,reversal,bullish reversal,stock,1,takuri,1,downtrend,5963,161459,135268,310963,-0.08300000000000002,-0.08300000000000002,0.84,0.457,61819,73449,2.3,2.38,2.23,10,11
CDLTAKURI,bullish,reversal,bullish reversal,stock,2,takuri,1,downtrend,5963,158583,132848,460814,0.04399999999999993,0.04399999999999993,0.84,0.347,46114,86734,3.47,4.3,3.03,10,21
CDLTAKURI,bullish,reversal,bullish reversal,stock,3,takuri,1,downtrend,5963,156568,131158,603965,0.1259999999999999,0.1259999999999999,0.84,0.282,37018,94140,4.6,6.72,3.77,7,25
CDLTAKURI,bullish,reversal,bullish reversal,stock,4,takuri,1,downtrend,5963,154857,129713,735645,0.19599999999999995,0.19599999999999995,0.84,0.239,30949,98764,5.67,9.52,4.47,5,31
CDLTAKURI,bullish,reversal,bullish reversal,stock,5,takuri,1,downtrend,5963,153451,128527,866988,0.25,0.25,0.84,0.208,26670,101857,6.75,12.89,5.14,4,31
