pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,crypto,1,three_black_crows,4,uptrend,1,5,3,10,0.337,0.08425,0.6,0.667,2,1,3.33,4.5,1.0,2,1
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,crypto,2,three_black_crows,4,uptrend,1,5,3,20,-1.0,-0.25,0.6,0.0,0,3,6.67,,6.67,0,3
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,crypto,3,three_black_crows,4,uptrend,1,5,3,20,-1.0,-0.25,0.6,0.0,0,3,6.67,,6.67,0,3
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,crypto,4,three_black_crows,4,uptrend,1,5,3,20,-1.0,-0.25,0.6,0.0,0,3,6.67,,6.67,0,3
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,crypto,5,three_black_crows,4,uptrend,1,5,3,20,-1.0,-0.25,0.6,0.0,0,3,6.67,,6.67,0,3
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,stock,1,three_black_crows,4,uptrend,87,185,23,67,0.04200000000000004,0.01050000000000001,0.12,0.522,12,11,2.91,3.5,2.27,2,2
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,stock,2,three_black_crows,4,uptrend,87,185,23,131,0.30999999999999994,0.07749999999999999,0.12,0.435,10,13,5.7,7.2,4.54,2,2
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,stock,3,three_black_crows,4,uptrend,87,185,23,359,0.04300000000000004,0.01075000000000001,0.12,0.261,6,17,15.61,9.83,17.65,2,2
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,stock,4,three_black_crows,4,uptrend,87,185,23,432,-0.134,-0.0335,0.12,0.174,4,19,18.78,21.0,18.32,2,2
CDL3BLACKCROWS,bearish,reversal,bearish mean reversion,stock,5,three_black_crows,4,uptrend,87,185,23,504,-0.4750000000000001,-0.11875000000000002,0.12,0.087,2,21,21.91,29.0,21.24,1,2
