pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3INSIDE,bearish,reversal,bullish continuation,crypto,1,three_inside_down,3,uptrend,66,202,198,253,-0.739,-0.24633333333333332,0.98,0.131,26,172,1.28,1.42,1.26,3,9
CDL3INSIDE,bearish,reversal,bullish continuation,crypto,2,three_inside_down,3,uptrend,66,202,198,268,-0.678,-0.226,0.98,0.106,21,177,1.35,1.86,1.29,3,9
CDL3INSIDE,bearish,reversal,bullish continuation,crypto,3,three_inside_down,3,uptrend,66,202,198,287,-0.597,-0.19899999999999998,0.98,0.101,20,178,1.45,2.6,1.32,3,9
CDL3INSIDE,bearish,reversal,bullish continuation,crypto,4,three_inside_down,3,uptrend,66,202,198,302,-0.5960000000000001,-0.19866666666666669,0.98,0.081,16,182,1.53,3.31,1.37,2,9
CDL3INSIDE,bearish,reversal,bullish continuation,crypto,5,three_inside_down,3,uptrend,66,202,198,325,-0.635,-0.21166666666666667,0.98,0.061,12,186,1.64,4.42,1.46,1,9
CDL3INSIDE,bearish,reversal,bullish continuation,forex,1,three_inside_down,3,uptrend,498,2116,2080,2787,-0.778,-0.25933333333333336,0.98,0.112,234,1846,1.34,1.94,1.26,2,10
CDL3INSIDE,bearish,reversal,bullish continuation,forex,2,three_inside_down,3,uptrend,498,2116,2080,3243,-0.738,-0.246,0.98,0.086,178,1902,1.56,2.7,1.45,2,10
CDL3INSIDE,bearish,reversal,bullish continuation,forex,3,three_inside_down,3,uptrend,498,2116,2079,3422,-0.726,-0.242,0.98,0.068,141,1938,1.65,3.2,1.53,2,10
CDL3INSIDE,bearish,reversal,bullish continuation,forex,4,three_inside_down,3,uptrend,498,2116,2079,3777,-0.7,-0.2333333333333333,0.98,0.06,125,1954,1.82,4.14,1.67,2,10
CDL3INSIDE,bearish,reversal,bullish continuation,forex,5,three_inside_down,3,uptrend,498,2115,2078,4013,-0.715,-0.2383333333333333,0.98,0.047,97,1981,1.93,4.84,1.79,2,12
CDL3INSIDE,bearish,reversal,bullish continuation,stock,1,three_inside_down,3,uptrend,3832,39582,36380,39768,-0.739,-0.24633333333333332,0.92,0.131,4769,31611,1.09,1.33,1.06,4,26
CDL3INSIDE,bearish,reversal,bullish continuation,stock,2,three_inside_down,3,uptrend,3832,39573,36371,43411,-0.65,-0.21666666666666667,0.92,0.115,4185,32186,1.19,1.76,1.12,3,26
CDL3INSIDE,bearish,reversal,bullish continuation,stock,3,three_inside_down,3,uptrend,3832,39563,36361,46859,-0.591,-0.19699999999999998,0.92,0.103,3754,32607,1.29,2.27,1.18,3,26
CDL3INSIDE,bearish,reversal,bullish continuation,stock,4,three_inside_down,3,uptrend,3832,39542,36341,50359,-0.534,-0.17800000000000002,0.92,0.094,3414,32927,1.39,2.85,1.23,3,26
CDL3INSIDE,bearish,reversal,bullish continuation,stock,5,three_inside_down,3,uptrend,3832,39524,36327,54165,-0.4800000000000001,-0.16000000000000003,0.92,0.086,3112,33215,1.49,3.32,1.32,3,27
