pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3INSIDE,bullish,reversal,bullish reversal,crypto,1,three_inside_up,3,downtrend,70,209,194,1114,-0.14199999999999996,-0.04733333333333332,0.93,0.428,83,111,5.74,4.04,7.02,5,5
CDL3INSIDE,bullish,reversal,bullish reversal,crypto,2,three_inside_up,3,downtrend,70,209,194,1673,-0.09199999999999997,-0.030666666666666658,0.93,0.304,59,135,8.62,9.78,8.12,3,6
CDL3INSIDE,bullish,reversal,bullish reversal,crypto,3,three_inside_up,3,downtrend,70,209,193,2383,-0.11099999999999999,-0.037,0.92,0.223,43,150,12.35,18.6,10.55,2,6
CDL3INSIDE,bullish,reversal,bullish reversal,crypto,4,three_inside_up,3,downtrend,70,209,193,2653,-0.11599999999999999,-0.03866666666666666,0.92,0.176,34,159,13.75,26.35,11.05,2,6
CDL3INSIDE,bullish,reversal,bullish reversal,crypto,5,three_inside_up,3,downtrend,70,208,191,3045,-0.11499999999999999,-0.03833333333333333,0.92,0.147,28,163,15.94,41.46,11.56,2,6
CDL3INSIDE,bullish,reversal,bullish reversal,forex,1,three_inside_up,3,downtrend,507,2126,2080,14780,-0.06000000000000005,-0.020000000000000018,0.98,0.47,978,1102,7.11,7.34,6.89,7,6
CDL3INSIDE,bullish,reversal,bullish reversal,forex,2,three_inside_up,3,downtrend,507,2118,2067,28881,-0.10199999999999998,-0.033999999999999996,0.98,0.299,619,1448,13.97,17.65,12.4,6,7
CDL3INSIDE,bullish,reversal,bullish reversal,forex,3,three_inside_up,3,downtrend,507,2102,2049,42087,-0.07099999999999995,-0.023666666666666652,0.97,0.233,478,1571,20.54,34.3,16.35,5,10
CDL3INSIDE,bullish,reversal,bullish reversal,forex,4,three_inside_up,3,downtrend,507,2090,2031,54134,-0.11199999999999999,-0.03733333333333333,0.97,0.177,359,1672,26.65,50.91,21.44,5,10
CDL3INSIDE,bullish,reversal,bullish reversal,forex,5,three_inside_up,3,downtrend,507,2084,2024,60831,-0.10999999999999999,-0.03666666666666666,0.97,0.148,300,1724,30.05,68.88,23.3,5,10
CDL3INSIDE,bullish,reversal,bullish reversal,stock,1,three_inside_up,3,downtrend,4279,41447,37361,266450,0.08100000000000002,0.027000000000000007,0.9,0.541,20202,17159,7.13,6.89,7.41,10,8
CDL3INSIDE,bullish,reversal,bullish reversal,stock,2,three_inside_up,3,downtrend,4279,40931,36835,486052,0.16600000000000004,0.055333333333333345,0.9,0.388,14308,22527,13.2,16.27,11.25,7,13
CDL3INSIDE,bullish,reversal,bullish reversal,stock,3,three_inside_up,3,downtrend,4279,40508,36406,698401,0.24,0.08,0.9,0.31,11278,25128,19.18,29.37,14.61,6,16
CDL3INSIDE,bullish,reversal,bullish reversal,stock,4,three_inside_up,3,downtrend,4279,40046,35938,906872,0.30000000000000004,0.10000000000000002,0.9,0.26,9348,26590,25.23,45.16,18.23,6,19
CDL3INSIDE,bullish,reversal,bullish reversal,stock,5,three_inside_up,3,downtrend,4279,39656,35521,1082128,0.345,0.11499999999999999,0.9,0.225,7992,27529,30.46,61.41,21.48,6,19
