pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3OUTSIDE,bullish,reversal,bearish continuation,crypto,1,three_outside_up,3,downtrend,157,1012,588,1415,-0.657,-0.219,0.58,0.173,102,486,2.41,4.32,2.0,4,10
CDL3OUTSIDE,bullish,reversal,bearish continuation,crypto,2,three_outside_up,3,downtrend,157,1004,584,1955,-0.616,-0.20533333333333334,0.58,0.127,74,510,3.35,7.61,2.73,3,11
CDL3OUTSIDE,bullish,reversal,bearish continuation,crypto,3,three_outside_up,3,downtrend,157,998,581,2631,-0.631,-0.21033333333333334,0.58,0.093,54,527,4.53,14.56,3.5,3,12
CDL3OUTSIDE,bullish,reversal,bearish continuation,crypto,4,three_outside_up,3,downtrend,157,988,576,3151,-0.692,-0.23066666666666666,0.58,0.062,36,540,5.47,26.75,4.05,3,13
CDL3OUTSIDE,bullish,reversal,bearish continuation,crypto,5,three_outside_up,3,downtrend,157,980,570,4167,-0.72,-0.24,0.58,0.046,26,544,7.31,34.69,6.0,3,13
CDL3OUTSIDE,bullish,reversal,bearish continuation,forex,1,three_outside_up,3,downtrend,731,8871,4117,8166,-0.703,-0.2343333333333333,0.46,0.147,605,3512,1.98,4.09,1.62,6,15
CDL3OUTSIDE,bullish,reversal,bearish continuation,forex,2,three_outside_up,3,downtrend,731,8851,4105,11575,-0.706,-0.2353333333333333,0.46,0.097,397,3708,2.82,8.02,2.26,6,17
CDL3OUTSIDE,bullish,reversal,bearish continuation,forex,3,three_outside_up,3,downtrend,731,8841,4102,14064,-0.7170000000000001,-0.23900000000000002,0.46,0.071,291,3811,3.43,13.47,2.66,6,17
CDL3OUTSIDE,bullish,reversal,bearish continuation,forex,4,three_outside_up,3,downtrend,731,8820,4091,16863,-0.734,-0.24466666666666667,0.46,0.054,220,3871,4.12,21.22,3.15,5,17
CDL3OUTSIDE,bullish,reversal,bearish continuation,forex,5,three_outside_up,3,downtrend,731,8807,4082,18989,-0.745,-0.24833333333333332,0.46,0.043,177,3905,4.65,29.59,3.52,4,17
CDL3OUTSIDE,bullish,reversal,bearish continuation,stock,1,three_outside_up,3,downtrend,4824,73975,40849,63318,-0.637,-0.21233333333333335,0.55,0.183,7455,33394,1.55,2.46,1.35,9,22
CDL3OUTSIDE,bullish,reversal,bearish continuation,stock,2,three_outside_up,3,downtrend,4824,73777,40716,84313,-0.602,-0.20066666666666666,0.55,0.134,5454,35262,2.07,4.21,1.74,8,23
CDL3OUTSIDE,bullish,reversal,bearish continuation,stock,3,three_outside_up,3,downtrend,4824,73595,40596,106291,-0.569,-0.18966666666666665,0.55,0.107,4347,36249,2.62,6.49,2.15,8,29
CDL3OUTSIDE,bullish,reversal,bearish continuation,stock,4,three_outside_up,3,downtrend,4824,73392,40475,125178,-0.55,-0.18333333333333335,0.55,0.09,3635,36840,3.09,9.03,2.51,7,29
CDL3OUTSIDE,bullish,reversal,bearish continuation,stock,5,three_outside_up,3,downtrend,4824,73189,40340,145627,-0.54,-0.18000000000000002,0.55,0.076,3058,37282,3.61,12.07,2.92,7,29
