pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3OUTSIDE,bullish,reversal,bullish reversal,crypto,1,three_outside_up,3,downtrend,157,976,654,5144,0.16099999999999998,0.05366666666666666,0.67,0.581,380,274,7.87,6.28,10.07,6,4
CDL3OUTSIDE,bullish,reversal,bullish reversal,crypto,2,three_outside_up,3,downtrend,157,957,637,8110,0.34199999999999997,0.11399999999999999,0.67,0.446,284,353,12.73,14.1,11.63,5,9
CDL3OUTSIDE,bullish,reversal,bullish reversal,crypto,3,three_outside_up,3,downtrend,157,945,622,10439,0.45499999999999996,0.15166666666666664,0.66,0.365,227,395,16.78,21.51,14.07,4,9
CDL3OUTSIDE,bullish,reversal,bullish reversal,crypto,4,three_outside_up,3,downtrend,157,935,612,12599,0.65,0.21666666666666667,0.65,0.33,202,410,20.59,30.63,15.64,4,9
CDL3OUTSIDE,bullish,reversal,bullish reversal,crypto,5,three_outside_up,3,downtrend,157,924,602,14488,0.78,0.26,0.65,0.296,178,424,24.07,41.24,16.86,4,9
CDL3OUTSIDE,bullish,reversal,bullish reversal,forex,1,three_outside_up,3,downtrend,731,8614,6094,75615,-0.09700000000000003,-0.032333333333333346,0.71,0.453,2760,3334,12.41,13.5,11.5,7,9
CDL3OUTSIDE,bullish,reversal,bullish reversal,forex,2,three_outside_up,3,downtrend,731,8454,5938,142102,-0.09999999999999998,-0.033333333333333326,0.7,0.3,1779,4159,23.93,35.57,18.95,5,14
CDL3OUTSIDE,bullish,reversal,bullish reversal,forex,3,three_outside_up,3,downtrend,731,8285,5774,208365,-0.12,-0.04,0.7,0.22,1270,4504,36.09,64.13,28.18,5,18
CDL3OUTSIDE,bullish,reversal,bullish reversal,forex,4,three_outside_up,3,downtrend,731,8105,5619,258326,-0.134,-0.04466666666666667,0.69,0.174,975,4644,45.97,94.3,35.83,3,18
CDL3OUTSIDE,bullish,reversal,bullish reversal,forex,5,three_outside_up,3,downtrend,731,7961,5495,301974,-0.14500000000000002,-0.04833333333333334,0.69,0.143,786,4709,54.95,134.65,41.65,3,18
CDL3OUTSIDE,bullish,reversal,bullish reversal,stock,1,three_outside_up,3,downtrend,4824,71154,52836,514663,0.062000000000000055,0.020666666666666684,0.74,0.532,28090,24746,9.74,9.57,9.94,11,11
CDL3OUTSIDE,bullish,reversal,bullish reversal,stock,2,three_outside_up,3,downtrend,4824,69505,51526,932568,0.14200000000000002,0.04733333333333334,0.74,0.381,19634,31892,18.1,23.33,14.88,8,15
CDL3OUTSIDE,bullish,reversal,bullish reversal,stock,3,three_outside_up,3,downtrend,4824,68095,50397,1348279,0.20900000000000007,0.0696666666666667,0.74,0.303,15293,35104,26.75,42.5,19.89,8,17
CDL3OUTSIDE,bullish,reversal,bullish reversal,stock,4,three_outside_up,3,downtrend,4824,66784,49319,1725896,0.28,0.09333333333333334,0.74,0.255,12599,36720,34.99,66.41,24.21,7,19
CDL3OUTSIDE,bullish,reversal,bullish reversal,stock,5,three_outside_up,3,downtrend,4824,65454,48260,2052815,0.33499999999999996,0.11166666666666665,0.74,0.223,10758,37502,42.54,91.82,28.4,6,21
