pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,crypto,1,three_white_soldiers,3,downtrend,18,40,34,258,-0.05900000000000005,-0.019666666666666683,0.85,0.471,16,18,7.59,5.0,9.89,2,3
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,crypto,2,three_white_soldiers,3,downtrend,18,39,33,369,0.08799999999999997,0.029333333333333322,0.85,0.364,12,21,11.18,9.5,12.14,2,4
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,crypto,3,three_white_soldiers,3,downtrend,18,38,32,448,0.0,0.0,0.84,0.25,8,24,14.0,9.62,15.46,2,4
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,crypto,4,three_white_soldiers,3,downtrend,18,38,32,462,0.09599999999999997,0.031999999999999994,0.84,0.219,7,25,14.44,11.43,15.28,2,4
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,crypto,5,three_white_soldiers,3,downtrend,18,38,32,470,0.31499999999999995,0.10499999999999998,0.84,0.219,7,25,14.69,12.57,15.28,2,4
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,forex,1,three_white_soldiers,3,downtrend,292,2002,1041,11924,0.245,0.08166666666666667,0.52,0.625,651,390,11.45,9.43,14.83,10,5
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,forex,2,three_white_soldiers,3,downtrend,292,1940,1011,21363,0.42999999999999994,0.1433333333333333,0.52,0.475,480,531,21.13,19.48,22.62,6,10
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,forex,3,three_white_soldiers,3,downtrend,292,1922,994,29397,0.606,0.20199999999999999,0.52,0.402,400,594,29.57,30.59,28.89,5,9
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,forex,4,three_white_soldiers,3,downtrend,292,1894,981,40724,0.7879999999999999,0.26266666666666666,0.52,0.357,350,631,41.51,57.85,32.45,4,9
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,forex,5,three_white_soldiers,3,downtrend,292,1863,968,53778,0.8800000000000001,0.2933333333333334,0.52,0.314,304,664,55.56,73.78,47.21,4,9
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,stock,1,three_white_soldiers,3,downtrend,436,945,789,12370,0.16199999999999998,0.05399999999999999,0.83,0.582,459,330,15.68,16.24,14.89,5,3
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,stock,2,three_white_soldiers,3,downtrend,436,936,779,23857,0.28,0.09333333333333334,0.83,0.425,331,448,30.63,44.3,20.52,5,3
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,stock,3,three_white_soldiers,3,downtrend,436,931,776,35670,0.354,0.118,0.83,0.338,262,514,45.97,71.11,33.15,5,3
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,stock,4,three_white_soldiers,3,downtrend,436,927,774,44413,0.3840000000000001,0.12800000000000003,0.83,0.276,214,560,57.38,105.23,39.09,3,4
CDL3WHITESOLDIERS,bullish,reversal,bullish reversal,stock,5,three_white_soldiers,3,downtrend,436,926,773,52028,0.44999999999999996,0.15,0.83,0.242,187,586,67.31,138.2,44.68,3,4
