pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTHRUSTING,bearish,continuation,bearish continuation,crypto,1,thrusting,2,downtrend,3,6,5,63,-0.19999999999999996,-0.09999999999999998,0.83,0.4,2,3,12.6,4.0,18.33,1,1
CDLTHRUSTING,bearish,continuation,bearish continuation,crypto,2,thrusting,2,downtrend,3,6,5,65,0.20000000000000007,0.10000000000000003,0.83,0.4,2,3,13.0,5.0,18.33,1,1
CDLTHRUSTING,bearish,continuation,bearish continuation,crypto,3,thrusting,2,downtrend,3,6,5,104,0.6000000000000002,0.3000000000000001,0.83,0.4,2,3,20.8,24.5,18.33,1,1
CDLTHRUSTING,bearish,continuation,bearish continuation,crypto,4,thrusting,2,downtrend,3,6,5,133,-1.0,-0.5,0.83,0.0,0,5,26.6,,26.6,0,2
CDLTHRUSTING,bearish,continuation,bearish continuation,crypto,5,thrusting,2,downtrend,3,6,5,133,-1.0,-0.5,0.83,0.0,0,5,26.6,,26.6,0,2
CDLTHRUSTING,bearish,continuation,bearish continuation,forex,1,thrusting,2,downtrend,57,142,79,1050,0.19499999999999995,0.09749999999999998,0.56,0.595,47,32,13.29,12.3,14.75,3,3
CDLTHRUSTING,bearish,continuation,bearish continuation,forex,2,thrusting,2,downtrend,57,140,78,2283,0.266,0.133,0.56,0.423,33,45,29.27,41.76,20.11,3,3
CDLTHRUSTING,bearish,continuation,bearish continuation,forex,3,thrusting,2,downtrend,57,140,78,3871,0.32900000000000007,0.16450000000000004,0.56,0.333,26,52,49.63,54.27,47.31,2,3
CDLTHRUSTING,bearish,continuation,bearish continuation,forex,4,thrusting,2,downtrend,57,139,78,4505,0.4079999999999999,0.20399999999999996,0.56,0.282,22,56,57.76,78.82,49.48,2,3
CDLTHRUSTING,bearish,continuation,bearish continuation,forex,5,thrusting,2,downtrend,57,138,78,5328,0.385,0.1925,0.57,0.231,18,60,68.31,93.5,60.75,2,3
CDLTHRUSTING,bearish,continuation,bearish continuation,stock,1,thrusting,2,downtrend,4471,50864,24193,196573,-0.10300000000000004,-0.05150000000000002,0.48,0.447,10825,13368,8.13,8.29,7.99,12,12
CDLTHRUSTING,bearish,continuation,bearish continuation,stock,2,thrusting,2,downtrend,4471,49810,23589,353670,-0.15600000000000003,-0.07800000000000001,0.47,0.282,6656,16933,14.99,19.92,13.06,11,14
CDLTHRUSTING,bearish,continuation,bearish continuation,stock,3,thrusting,2,downtrend,4471,49011,23155,512148,-0.19700000000000006,-0.09850000000000003,0.47,0.201,4654,18501,22.12,34.04,19.12,9,17
CDLTHRUSTING,bearish,continuation,bearish continuation,stock,4,thrusting,2,downtrend,4471,48300,22745,637549,-0.242,-0.121,0.47,0.152,3466,19279,28.03,54.48,23.27,8,22
CDLTHRUSTING,bearish,continuation,bearish continuation,stock,5,thrusting,2,downtrend,4471,47613,22374,778041,-0.275,-0.1375,0.47,0.121,2715,19659,34.77,76.16,29.06,5,22
