pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTHRUSTING,bearish,continuation,bearish mean reversion,crypto,1,thrusting,2,downtrend,3,6,0,0,,,0.0,,0,0,,,,0,0
CDLTHRUSTING,bearish,continuation,bearish mean reversion,crypto,2,thrusting,2,downtrend,3,6,0,0,,,0.0,,0,0,,,,0,0
CDLTHRUSTING,bearish,continuation,bearish mean reversion,crypto,3,thrusting,2,downtrend,3,6,0,0,,,0.0,,0,0,,,,0,0
CDLTHRUSTING,bearish,continuation,bearish mean reversion,crypto,4,thrusting,2,downtrend,3,6,0,0,,,0.0,,0,0,,,,0,0
CDLTHRUSTING,bearish,continuation,bearish mean reversion,crypto,5,thrusting,2,downtrend,3,6,0,0,,,0.0,,0,0,,,,0,0
CDLTHRUSTING,bearish,continuation,bearish mean reversion,forex,1,thrusting,2,downtrend,57,143,22,80,0.6379999999999999,0.31899999999999995,0.15,0.818,18,4,3.64,4.06,1.75,2,1
CDLTHRUSTING,bearish,continuation,bearish mean reversion,forex,2,thrusting,2,downtrend,57,142,22,232,0.6400000000000001,0.32000000000000006,0.15,0.545,12,10,10.55,8.67,12.8,1,1
CDLTHRUSTING,bearish,continuation,bearish mean reversion,forex,3,thrusting,2,downtrend,57,142,22,362,0.825,0.4125,0.15,0.455,10,12,16.45,13.4,19.0,1,1
CDLTHRUSTING,bearish,continuation,bearish mean reversion,forex,4,thrusting,2,downtrend,57,142,22,486,0.592,0.296,0.15,0.318,7,15,22.09,20.0,23.07,1,2
CDLTHRUSTING,bearish,continuation,bearish mean reversion,forex,5,thrusting,2,downtrend,57,142,22,657,0.6350000000000002,0.3175000000000001,0.15,0.273,6,16,29.86,46.83,23.5,1,2
CDLTHRUSTING,bearish,continuation,bearish mean reversion,stock,1,thrusting,2,downtrend,4471,51371,18891,75647,0.13699999999999996,0.06849999999999998,0.37,0.567,10702,8189,4.0,3.76,4.32,12,8
CDLTHRUSTING,bearish,continuation,bearish mean reversion,stock,2,thrusting,2,downtrend,4471,50881,18650,149031,0.08999999999999997,0.044999999999999984,0.37,0.365,6801,11849,7.99,9.2,7.3,10,11
CDLTHRUSTING,bearish,continuation,bearish mean reversion,stock,3,thrusting,2,downtrend,4471,50403,18407,224396,0.06800000000000006,0.03400000000000003,0.37,0.266,4899,13508,12.19,16.27,10.71,8,14
CDLTHRUSTING,bearish,continuation,bearish mean reversion,stock,4,thrusting,2,downtrend,4471,49973,18212,301706,0.01200000000000001,0.006000000000000005,0.36,0.203,3698,14514,16.57,25.36,14.33,7,15
CDLTHRUSTING,bearish,continuation,bearish mean reversion,stock,5,thrusting,2,downtrend,4471,49536,18036,386891,-0.014999999999999902,-0.007499999999999951,0.36,0.165,2971,15065,21.45,35.86,18.61,6,15
