pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTHRUSTING,bearish,continuation,bullish mean reversion,crypto,1,thrusting,2,downtrend,3,6,3,16,0.337,0.1685,0.5,0.667,2,1,5.33,5.5,5.0,1,1
CDLTHRUSTING,bearish,continuation,bullish mean reversion,crypto,2,thrusting,2,downtrend,3,6,3,25,-0.0040000000000000036,-0.0020000000000000018,0.5,0.333,1,2,8.33,6.0,9.5,1,1
CDLTHRUSTING,bearish,continuation,bullish mean reversion,crypto,3,thrusting,2,downtrend,3,6,3,32,0.32900000000000007,0.16450000000000004,0.5,0.333,1,2,10.67,13.0,9.5,1,1
CDLTHRUSTING,bearish,continuation,bullish mean reversion,crypto,4,thrusting,2,downtrend,3,6,3,39,-1.0,-0.5,0.5,0.0,0,3,13.0,,13.0,0,1
CDLTHRUSTING,bearish,continuation,bullish mean reversion,crypto,5,thrusting,2,downtrend,3,6,3,39,-1.0,-0.5,0.5,0.0,0,3,13.0,,13.0,0,1
CDLTHRUSTING,bearish,continuation,bullish mean reversion,forex,1,thrusting,2,downtrend,57,143,71,411,-0.017000000000000015,-0.008500000000000008,0.5,0.493,35,36,5.79,6.11,5.47,3,3
CDLTHRUSTING,bearish,continuation,bullish mean reversion,forex,2,thrusting,2,downtrend,57,143,71,794,-0.242,-0.121,0.5,0.254,18,53,11.18,20.22,8.11,3,3
CDLTHRUSTING,bearish,continuation,bullish mean reversion,forex,3,thrusting,2,downtrend,57,143,71,2012,-0.375,-0.1875,0.5,0.155,11,60,28.34,16.18,30.57,3,4
CDLTHRUSTING,bearish,continuation,bullish mean reversion,forex,4,thrusting,2,downtrend,57,143,71,2085,-0.438,-0.219,0.5,0.113,8,63,29.37,23.88,30.06,3,4
CDLTHRUSTING,bearish,continuation,bullish mean reversion,forex,5,thrusting,2,downtrend,57,143,71,2365,-0.495,-0.2475,0.5,0.085,6,65,33.31,61.33,30.72,3,4
CDLTHRUSTING,bearish,continuation,bullish mean reversion,stock,1,thrusting,2,downtrend,4471,51287,21358,84132,0.22099999999999997,0.11049999999999999,0.42,0.611,13045,8313,3.94,3.7,4.31,12,8
CDLTHRUSTING,bearish,continuation,bullish mean reversion,stock,2,thrusting,2,downtrend,4471,50885,21115,167196,0.28600000000000003,0.14300000000000002,0.41,0.428,9043,12072,7.92,9.05,7.07,8,11
CDLTHRUSTING,bearish,continuation,bullish mean reversion,stock,3,thrusting,2,downtrend,4471,50537,20893,253375,0.31399999999999995,0.15699999999999997,0.41,0.328,6859,14034,12.13,17.13,9.68,6,11
CDLTHRUSTING,bearish,continuation,bullish mean reversion,stock,4,thrusting,2,downtrend,4471,50266,20742,336552,0.3460000000000001,0.17300000000000004,0.41,0.269,5573,15169,16.23,26.49,12.46,6,13
CDLTHRUSTING,bearish,continuation,bullish mean reversion,stock,5,thrusting,2,downtrend,4471,50017,20602,416671,0.375,0.1875,0.41,0.229,4723,15879,20.22,38.19,14.88,5,14
