pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDL2CROWS,bearish,reversal,bearish reversal,forex,1,two_crows,3,uptrend,4,8,8,20,0.5,0.16666666666666666,1.0,0.75,6,2,2.5,3.0,1.0,2,1
CDL2CROWS,bearish,reversal,bearish reversal,forex,2,two_crows,3,uptrend,4,8,8,44,0.87,0.29,1.0,0.625,5,3,5.5,3.8,8.33,2,2
CDL2CROWS,bearish,reversal,bearish reversal,forex,3,two_crows,3,uptrend,4,8,8,89,0.505,0.16833333333333333,1.0,0.375,3,5,11.12,7.0,13.6,1,2
CDL2CROWS,bearish,reversal,bearish reversal,forex,4,two_crows,3,uptrend,4,8,8,110,-0.38,-0.12666666666666668,1.0,0.125,1,7,13.75,16.0,13.43,1,2
CDL2CROWS,bearish,reversal,bearish reversal,forex,5,two_crows,3,uptrend,4,8,8,130,-0.255,-0.085,1.0,0.125,1,7,16.25,36.0,13.43,1,2
CDL2CROWS,bearish,reversal,bearish reversal,stock,1,two_crows,3,uptrend,1665,4897,4506,27070,0.03500000000000003,0.011666666666666678,0.92,0.515,2319,2187,6.01,5.28,6.78,6,6
CDL2CROWS,bearish,reversal,bearish reversal,stock,2,two_crows,3,uptrend,1665,4884,4490,53317,0.014000000000000012,0.0046666666666666705,0.92,0.337,1512,2978,11.87,14.31,10.64,4,7
CDL2CROWS,bearish,reversal,bearish reversal,stock,3,two_crows,3,uptrend,1665,4872,4471,74007,-0.03400000000000003,-0.011333333333333343,0.92,0.242,1084,3387,16.55,24.73,13.94,4,7
CDL2CROWS,bearish,reversal,bearish reversal,stock,4,two_crows,3,uptrend,1665,4855,4445,87684,-0.07999999999999996,-0.026666666666666655,0.92,0.185,823,3622,19.73,32.84,16.75,3,8
CDL2CROWS,bearish,reversal,bearish reversal,stock,5,two_crows,3,uptrend,1665,4849,4431,102158,-0.09499999999999997,-0.031666666666666655,0.91,0.151,669,3762,23.06,39.78,20.08,3,8
