pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,crypto,1,unique_three_river_bottom,3,downtrend,7,15,15,18,-0.063,-0.021,1.0,0.467,7,8,1.2,1.29,1.12,2,2
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,crypto,2,unique_three_river_bottom,3,downtrend,7,14,14,21,0.07399999999999995,0.024666666666666653,1.0,0.357,5,9,1.5,1.2,1.67,2,2
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,crypto,3,unique_three_river_bottom,3,downtrend,7,14,14,25,0.1479999999999999,0.049333333333333305,1.0,0.286,4,10,1.79,2.0,1.7,2,2
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,crypto,4,unique_three_river_bottom,3,downtrend,7,14,14,26,0.06599999999999995,0.02199999999999998,1.0,0.214,3,11,1.86,2.33,1.73,2,2
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,crypto,5,unique_three_river_bottom,3,downtrend,7,14,14,26,0.28,0.09333333333333334,1.0,0.214,3,11,1.86,2.33,1.73,2,2
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,forex,1,unique_three_river_bottom,3,downtrend,100,333,330,857,-0.10500000000000004,-0.03500000000000001,0.99,0.445,147,183,2.6,2.19,2.92,6,5
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,forex,2,unique_three_river_bottom,3,downtrend,100,332,329,1133,-0.04800000000000004,-0.016000000000000014,0.99,0.316,104,225,3.44,3.82,3.27,4,7
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,forex,3,unique_three_river_bottom,3,downtrend,100,328,325,1830,0.025000000000000022,0.00833333333333334,0.99,0.255,83,242,5.63,10.95,3.81,4,7
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,forex,4,unique_three_river_bottom,3,downtrend,100,327,324,2237,0.17999999999999994,0.05999999999999998,0.99,0.235,76,248,6.9,16.29,4.03,4,7
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,forex,5,unique_three_river_bottom,3,downtrend,100,327,324,2526,0.18999999999999995,0.06333333333333331,0.99,0.198,64,260,7.8,22.38,4.21,4,8
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,stock,1,unique_three_river_bottom,3,downtrend,2778,10276,9354,14389,-0.40499999999999997,-0.13499999999999998,0.91,0.295,2755,6599,1.54,1.89,1.39,7,10
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,stock,2,unique_three_river_bottom,3,downtrend,2778,10269,9347,19298,-0.302,-0.10066666666666667,0.91,0.234,2191,7156,2.06,3.01,1.78,6,10
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,stock,3,unique_three_river_bottom,3,downtrend,2778,10261,9337,23474,-0.22799999999999998,-0.076,0.91,0.194,1814,7523,2.51,4.23,2.1,6,10
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,stock,4,unique_three_river_bottom,3,downtrend,2778,10248,9323,27780,-0.16199999999999992,-0.05399999999999997,0.91,0.167,1560,7763,2.98,5.88,2.4,6,10
CDLUNIQUE3RIVER,bullish,reversal,bearish continuation,stock,5,unique_three_river_bottom,3,downtrend,2778,10244,9317,32571,-0.12,-0.04,0.91,0.146,1357,7960,3.5,8.11,2.71,6,10
