pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,crypto,1,unique_three_river_bottom,3,downtrend,7,14,9,51,0.558,0.18600000000000003,0.64,0.778,7,2,5.67,6.43,3.0,2,2
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,crypto,2,unique_three_river_bottom,3,downtrend,7,14,9,86,1.004,0.33466666666666667,0.64,0.667,6,3,9.56,10.0,8.67,2,2
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,crypto,3,unique_three_river_bottom,3,downtrend,7,14,9,108,1.2280000000000002,0.4093333333333334,0.64,0.556,5,4,12.0,15.4,7.75,2,2
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,crypto,4,unique_three_river_bottom,3,downtrend,7,14,9,128,1.216,0.4053333333333333,0.64,0.444,4,5,14.22,21.25,8.6,2,2
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,crypto,5,unique_three_river_bottom,3,downtrend,7,14,9,130,0.995,0.33166666666666667,0.64,0.333,3,6,14.44,26.33,8.5,1,2
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,forex,1,unique_three_river_bottom,3,downtrend,100,327,232,1619,-0.38399999999999995,-0.12799999999999997,0.71,0.306,71,161,6.98,3.72,8.42,3,6
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,forex,2,unique_three_river_bottom,3,downtrend,100,327,232,2068,-0.404,-0.13466666666666668,0.71,0.198,46,186,8.91,10.91,8.42,2,6
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,forex,3,unique_three_river_bottom,3,downtrend,100,327,231,2769,-0.372,-0.124,0.71,0.156,36,195,11.99,23.86,9.79,1,6
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,forex,4,unique_three_river_bottom,3,downtrend,100,327,231,3407,-0.366,-0.122,0.71,0.126,29,202,14.75,35.0,11.84,1,6
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,forex,5,unique_three_river_bottom,3,downtrend,100,327,231,4139,-0.42500000000000004,-0.1416666666666667,0.71,0.095,22,209,17.92,49.91,14.55,1,6
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,stock,1,unique_three_river_bottom,3,downtrend,2778,10237,7735,35231,-0.038000000000000034,-0.012666666666666678,0.76,0.482,3731,4004,4.55,4.76,4.36,6,7
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,stock,2,unique_three_river_bottom,3,downtrend,2778,10216,7715,62436,0.04599999999999993,0.01533333333333331,0.76,0.348,2683,5032,8.09,10.77,6.66,5,8
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,stock,3,unique_three_river_bottom,3,downtrend,2778,10197,7699,89184,0.1110000000000001,0.03700000000000003,0.76,0.277,2134,5565,11.58,19.23,8.65,5,8
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,stock,4,unique_three_river_bottom,3,downtrend,2778,10182,7678,116782,0.14200000000000002,0.04733333333333334,0.75,0.228,1752,5926,15.21,29.3,11.05,5,8
CDLUNIQUE3RIVER,bullish,reversal,bullish reversal,stock,5,unique_three_river_bottom,3,downtrend,2778,10167,7661,139817,0.19999999999999996,0.06666666666666665,0.75,0.2,1530,6131,18.25,39.51,12.94,4,8
