pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,crypto,1,up_gap_side_by_side,3,uptrend,34,87,52,297,0.30400000000000005,0.10133333333333334,0.6,0.654,34,18,5.71,6.35,4.5,3,3
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,crypto,2,up_gap_side_by_side,3,uptrend,34,87,52,499,0.44199999999999995,0.14733333333333332,0.6,0.481,25,27,9.6,13.52,5.96,2,4
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,crypto,3,up_gap_side_by_side,3,uptrend,34,86,52,583,0.6120000000000002,0.20400000000000007,0.6,0.404,21,31,11.21,12.33,10.45,2,4
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,crypto,4,up_gap_side_by_side,3,uptrend,34,85,51,863,0.662,0.22066666666666668,0.6,0.333,17,34,16.92,23.71,13.53,2,4
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,crypto,5,up_gap_side_by_side,3,uptrend,34,85,51,939,0.76,0.25333333333333335,0.6,0.294,15,36,18.41,22.4,16.75,1,4
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,forex,1,up_gap_side_by_side,3,uptrend,515,2201,1765,20509,-0.21699999999999997,-0.07233333333333332,0.8,0.393,694,1071,11.62,8.13,13.88,6,22
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,forex,2,up_gap_side_by_side,3,uptrend,515,2173,1742,28518,-0.22999999999999998,-0.07666666666666666,0.8,0.255,445,1297,16.37,20.27,15.03,5,22
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,forex,3,up_gap_side_by_side,3,uptrend,515,2151,1722,35534,-0.277,-0.09233333333333334,0.8,0.181,312,1410,20.64,35.85,17.27,4,22
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,forex,4,up_gap_side_by_side,3,uptrend,515,2133,1705,42781,-0.29999999999999993,-0.09999999999999998,0.8,0.14,239,1466,25.09,60.02,19.4,4,22
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,forex,5,up_gap_side_by_side,3,uptrend,515,2125,1696,44579,-0.265,-0.08833333333333333,0.8,0.123,209,1487,26.28,72.48,19.79,4,22
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,stock,1,up_gap_side_by_side,3,uptrend,4120,43036,24531,180760,0.03700000000000003,0.012333333333333344,0.57,0.517,12691,11840,7.37,7.48,7.25,9,9
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,stock,2,up_gap_side_by_side,3,uptrend,4120,41739,23900,289698,0.17800000000000005,0.05933333333333335,0.57,0.394,9424,14476,12.12,15.32,10.04,8,12
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,stock,3,up_gap_side_by_side,3,uptrend,4120,40635,23360,384936,0.29500000000000004,0.09833333333333334,0.57,0.325,7592,15768,16.48,24.15,12.78,6,13
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,stock,4,up_gap_side_by_side,3,uptrend,4120,39827,22935,468473,0.40400000000000014,0.1346666666666667,0.58,0.281,6445,16490,20.43,34.17,15.05,6,17
CDLGAPSIDESIDEWHITE,bullish,continuation,bullish continuation,stock,5,up_gap_side_by_side,3,uptrend,4120,39114,22581,547060,0.4950000000000001,0.16500000000000004,0.58,0.249,5621,16960,24.23,45.21,17.27,5,17
