pattern,direction,category,strategy,market,rr,pattern_name,pattern_bars,required_trend,tickers,signals,trades,trade_bars,edge,edge_per_bar,confirm_perc,win_perc,wins,losses,avg_trade_bars,avg_win_bars,avg_loss_bars,cons_wins,cons_losses
CDLTASUKIGAP,bullish,continuation,bullish continuation,crypto,1,upside_tasuki_gap,3,uptrend,4,8,5,17,-0.19999999999999996,-0.06666666666666665,0.62,0.4,2,3,3.4,5.0,2.33,1,1
CDLTASUKIGAP,bullish,continuation,bullish continuation,crypto,2,upside_tasuki_gap,3,uptrend,4,8,5,23,0.20000000000000007,0.0666666666666667,0.62,0.4,2,3,4.6,8.0,2.33,1,1
CDLTASUKIGAP,bullish,continuation,bullish continuation,crypto,3,upside_tasuki_gap,3,uptrend,4,8,5,26,0.6000000000000002,0.20000000000000007,0.62,0.4,2,3,5.2,9.5,2.33,1,1
CDLTASUKIGAP,bullish,continuation,bullish continuation,crypto,4,upside_tasuki_gap,3,uptrend,4,8,5,44,1.0,0.3333333333333333,0.62,0.4,2,3,8.8,18.5,2.33,1,1
CDLTASUKIGAP,bullish,continuation,bullish continuation,crypto,5,upside_tasuki_gap,3,uptrend,4,8,5,86,1.4,0.4666666666666666,0.62,0.4,2,3,17.2,39.5,2.33,1,1
CDLTASUKIGAP,bullish,continuation,bullish continuation,forex,1,upside_tasuki_gap,3,uptrend,50,114,41,221,-0.417,-0.13899999999999998,0.36,0.293,12,29,5.39,7.33,4.59,2,2
CDLTASUKIGAP,bullish,continuation,bullish continuation,forex,2,upside_tasuki_gap,3,uptrend,50,114,40,266,-0.4,-0.13333333333333333,0.35,0.2,8,32,6.65,12.75,5.12,2,2
CDLTASUKIGAP,bullish,continuation,bullish continuation,forex,3,upside_tasuki_gap,3,uptrend,50,113,39,452,-0.388,-0.12933333333333333,0.35,0.154,6,33,11.59,14.17,11.12,2,2
CDLTASUKIGAP,bullish,continuation,bullish continuation,forex,4,upside_tasuki_gap,3,uptrend,50,113,39,739,-0.358,-0.11933333333333333,0.35,0.128,5,34,18.95,27.4,17.71,2,2
CDLTASUKIGAP,bullish,continuation,bullish continuation,forex,5,upside_tasuki_gap,3,uptrend,50,113,39,815,-0.385,-0.12833333333333333,0.35,0.103,4,35,20.9,39.0,18.83,2,2
CDLTASUKIGAP,bullish,continuation,bullish continuation,stock,1,upside_tasuki_gap,3,uptrend,3065,18976,10920,76561,0.0010000000000000009,0.00033333333333333365,0.58,0.501,5470,5450,7.01,7.2,6.82,7,7
CDLTASUKIGAP,bullish,continuation,bullish continuation,stock,2,upside_tasuki_gap,3,uptrend,3065,18816,10825,135013,0.06999999999999995,0.023333333333333317,0.58,0.355,3846,6979,12.47,17.14,9.9,7,9
CDLTASUKIGAP,bullish,continuation,bullish continuation,stock,3,upside_tasuki_gap,3,uptrend,3065,18661,10732,193899,0.1140000000000001,0.038000000000000034,0.58,0.278,2979,7753,18.07,30.87,13.15,5,10
CDLTASUKIGAP,bullish,continuation,bullish continuation,stock,4,upside_tasuki_gap,3,uptrend,3065,18534,10636,245705,0.15000000000000002,0.05000000000000001,0.57,0.23,2447,8189,23.1,46.32,16.16,4,10
CDLTASUKIGAP,bullish,continuation,bullish continuation,stock,5,upside_tasuki_gap,3,uptrend,3065,18424,10568,294571,0.20500000000000007,0.06833333333333336,0.57,0.201,2126,8442,27.87,63.86,18.81,4,13
