,Date,Binance Coin,Bitcoin,Bitcoin Cash,Bitcoin SV,Cardano,ChainLink,Cosmos,Dash,Dogecoin,Ethereum,Ethereum Classic,IOTA,Litecoin,Maker,Monero,NEM,NEO,Ontology,Ripple,Stellar,StrongHands,Tether,Tezos,TRON,USD Coin
78,2009-01-03,,,,,,,,,,,,,,,,,,,,,,,,,
79,2009-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
80,2009-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
81,2009-02-02,,,,,,,,,,,,,,,,,,,,,,,,,
82,2009-02-13,,,,,,,,,,,,,,,,,,,,,,,,,
83,2009-02-24,,,,,,,,,,,,,,,,,,,,,,,,,
84,2009-03-07,,,,,,,,,,,,,,,,,,,,,,,,,
85,2009-03-18,,,,,,,,,,,,,,,,,,,,,,,,,
86,2009-03-29,,,,,,,,,,,,,,,,,,,,,,,,,
87,2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,
88,2009-04-20,,,,,,,,,,,,,,,,,,,,,,,,,
89,2009-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
90,2009-05-12,,,,,,,,,,,,,,,,,,,,,,,,,
91,2009-05-23,,,,,,,,,,,,,,,,,,,,,,,,,
92,2009-06-03,,,,,,,,,,,,,,,,,,,,,,,,,
93,2009-06-14,,,,,,,,,,,,,,,,,,,,,,,,,
94,2009-06-25,,,,,,,,,,,,,,,,,,,,,,,,,
95,2009-07-06,,,,,,,,,,,,,,,,,,,,,,,,,
96,2009-07-17,,,,,,,,,,,,,,,,,,,,,,,,,
97,2009-07-28,,,,,,,,,,,,,,,,,,,,,,,,,
98,2009-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
99,2009-08-19,,,,,,,,,,,,,,,,,,,,,,,,,
100,2009-08-30,,,,,,,,,,,,,,,,,,,,,,,,,
101,2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,
102,2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,
103,2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,
104,2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,
105,2009-10-24,,,,,,,,,,,,,,,,,,,,,,,,,
106,2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,
107,2009-11-15,,,,,,,,,,,,,,,,,,,,,,,,,
108,2009-11-26,,,,,,,,,,,,,,,,,,,,,,,,,
109,2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,
110,2009-12-18,,,,,,,,,,,,,,,,,,,,,,,,,
111,2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,
112,2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
113,2010-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
114,2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
115,2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,
116,2010-02-13,,,,,,,,,,,,,,,,,,,,,,,,,
117,2010-02-24,,,,,,,,,,,,,,,,,,,,,,,,,
118,2010-03-07,,,,,,,,,,,,,,,,,,,,,,,,,
119,2010-03-18,,,,,,,,,,,,,,,,,,,,,,,,,
120,2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,
121,2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,
122,2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,
123,2010-05-01,,,,,,,,,,,,,,,,,,,,,,,,,
124,2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,
125,2010-05-23,,,,,,,,,,,,,,,,,,,,,,,,,
126,2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,
127,2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,
128,2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,
129,2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,
130,2010-07-17,,220019.86471635,,,,,,,,,,,,,,,,,,,,,,,
131,2010-07-28,,221519.22649879998,,,,,,,,,,,,,,,,,,,,,,,
132,2010-08-08,,246603.47344983,,,,,,,,,,,,,,,,,,,,,,,
133,2010-08-19,,248993.69344889998,,,,,,,,,,,,,,,,,,,,,,,
134,2010-08-30,,240774.54018472,,,,,,,,,,,,,,,,,,,,,,,
135,2010-09-10,,246966.91749903,,,,,,,,,,,,,,,,,,,,,,,
136,2010-09-21,,255158.80612773,,,,,,,,,,,,,,,,,,,,,,,
137,2010-10-02,,315091.04231502,,,,,,,,,,,,,,,,,,,,,,,
138,2010-10-13,,438711.92533799,,,,,,,,,,,,,,,,,,,,,,,
139,2010-10-24,,774233.15277963,,,,,,,,,,,,,,,,,,,,,,,
140,2010-11-04,,1213534.8870171001,,,,,,,,,,,,,,,,,,,,,,,
141,2010-11-15,,1274490.4145673001,,,,,,,,,,,,,,,,,,,,,,,
142,2010-11-26,,1140066.4168833,,,,,,,,,,,,,,,,,,,,,,,
143,2010-12-07,,1094133.3037801,,,,,,,,,,,,,,,,,,,,,,,
144,2010-12-18,,1252504.4657033999,,,,,,,,,,,,,,,,,,,,,,,
145,2010-12-29,,1473282.8707168002,,,,,,,,,,,,,,,,,,,,,,,
146,2011-01-01,,1543417.0881398001,,,,,,,,,,,,,,,,,,,,,,,
147,2011-01-11,,1828548.955022,,,,,,,,,,,,,,,,,,,,,,,
148,2011-01-22,,2444463.3991285,,,,,,,,,,,,,,,,,,,,,,,
149,2011-02-02,,4715769.4123937,,,,,,,,,,,,,,,,,,,,,,,
150,2011-02-13,,5206693.7285137,,,,,,,,,,,,,,,,,,,,,,,
151,2011-02-24,,5103402.734299299,,,,,,,,,,,,,,,,,,,,,,,
152,2011-03-07,,4966158.038395599,,,,,,,,,,,,,,,,,,,,,,,
153,2011-03-18,,4657675.799282701,,,,,,,,,,,,,,,,,,,,,,,
154,2011-03-29,,4402232.4721109,,,,,,,,,,,,,,,,,,,,,,,
155,2011-04-09,,5615800.652836,,,,,,,,,,,,,,,,,,,,,,,
156,2011-04-20,,10880440.946385,,,,,,,,,,,,,,,,,,,,,,,
157,2011-05-01,,22974831.562175,,,,,,,,,,,,,,,,,,,,,,,
158,2011-05-12,,43065373.721895,,,,,,,,,,,,,,,,,,,,,,,
159,2011-05-23,,53948754.739507,,,,,,,,,,,,,,,,,,,,,,,
160,2011-06-03,,129867296.31745,,,,,,,,,,,,,,,,,,,,,,,
161,2011-06-14,,117226111.61598998,,,,,,,,,,,,,,,,,,,,,,,
162,2011-06-25,,105360719.4369,,,,,,,,,,,,,,,,,,,,,,,
163,2011-07-06,,97388166.902279,,,,,,,,,,,,,,,,,,,,,,,
164,2011-07-17,,94389526.329023,,,,,,,,,,,,,,,,,,,,,,,
165,2011-07-28,,80091269.728405,,,,,,,,,,,,,,,,,,,,,,,
166,2011-08-08,,70939284.956089,,,,,,,,,,,,,,,,,,,,,,,
167,2011-08-19,,72760781.089758,,,,,,,,,,,,,,,,,,,,,,,
168,2011-08-30,,54933640.274631,,,,,,,,,,,,,,,,,,,,,,,
169,2011-09-10,,39460355.589596994,,,,,,,,,,,,,,,,,,,,,,,
170,2011-09-21,,38152519.294116996,,,,,,,,,,,,,,,,,,,,,,,
171,2011-10-02,,33141260.936024,,,,,,,,,,,,,,,,,,,,,,,
379,2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,
172,2011-10-13,,23349193.550218,,,,,,,,,,,,,,,,,,,,,,,
173,2011-10-24,,23401982.622337,,,,,,,,,,,,,,,,,,,,,,,
174,2011-11-04,,22607355.849007998,,,,,,,,,,,,,,,,,,,,,,,
175,2011-11-15,,17745654.050821,,,,,,,,,,,,,,,,,,,,,,,
176,2011-11-26,,21806729.624522,,,,,,,,,,,,,,,,,,,,,,,
177,2011-12-07,,24467064.161132,,,,,,,,,,,,,,,,,,,,,,,
178,2011-12-18,,30651411.561628997,,,,,,,,,,,,,,,,,,,,,,,
179,2011-12-29,,34643296.978640996,,,,,,,,,,,,,,,,,,,,,,,
180,2012-01-01,,48383376.9397,,,,,,,,,,,,,,,,,,,,,,,
181,2012-01-11,,52735451.500237,,,,,,,,,,,,,,,,,,,,,,,
182,2012-01-22,,47418992.516477,,,,,,,,,,,,,,,,,,,,,,,
183,2012-02-02,,47682685.706434004,,,,,,,,,,,,,,,,,,,,,,,
184,2012-02-13,,37915434.168906,,,,,,,,,,,,,,,,,,,,,,,
185,2012-02-24,,41153515.770907,,,,,,,,,,,,,,,,,,,,,,,
186,2012-03-06,,43089367.638778,,,,,,,,,,,,,,,,,,,,,,,
187,2012-03-17,,41525988.646984,,,,,,,,,,,,,,,,,,,,,,,
188,2012-03-28,,42288914.901924,,,,,,,,,,,,,,,,,,,,,,,
189,2012-04-08,,42966376.47819699,,,,,,,,,,,,,,,,,,,,,,,
190,2012-04-19,,45234451.269537,,,,,,,,,,,,,,,,,,,,,,,
191,2012-04-30,,45021398.568071,,,,,,,,,,,,,,,,,,,,,,,
192,2012-05-11,,45437995.410184,,,,,,,,,,,,,,,,,,,,,,,
193,2012-05-22,,46699809.683428995,,,,,,,,,,,,,,,,,,,,,,,
194,2012-06-02,,49894804.78528,,,,,,,,,,,,,,,,,,,,,,,
195,2012-06-13,,58715495.453807,,,,,,,,,,,,,,,,,,,,,,,
196,2012-06-24,,61038626.032432,,,,,,,,,,,,,,,,,,,,,,,
197,2012-07-05,,66892740.778427005,,,,,,,,,,,,,,,,,,,,,,,
198,2012-07-16,,81814086.213805,,,,,,,,,,,,,,,,,,,,,,,
199,2012-07-27,,93792804.853414,,,,,,,,,,,,,,,,,,,,,,,
200,2012-08-07,,115049769.96406001,,,,,,,,,,,,,,,,,,,,,,,
201,2012-08-18,,100974331.41337,,,,,,,,,,,,,,,,,,,,,,,
202,2012-08-29,,104148626.94085,,,,,,,,,,,,,,,,,,,,,,,
203,2012-09-09,,115017263.61037,,,,,,,,,,,,,,,,,,,,,,,
204,2012-09-20,,122924247.48369,,,,,,,,,,,,,,,,,,,,,,,
205,2012-10-01,,124336085.96406999,,,,,,,,,,,,,,,,,,,,,,,
206,2012-10-12,,120357759.09447,,,,,,,,,,,,,,,,,,,,,,,
207,2012-10-23,,111678331.39158998,,,,,,,,,,,,,,,,,,,,,,,
208,2012-11-03,,112141643.55488999,,,,,,,,,,,,,,,,,,,,,,,
209,2012-11-14,,122124668.3336,,,,,,,,,,,,,,,,,,,,,,,
210,2012-11-25,,132014263.97827,,,,,,,,,,,,,,,,,,,,,,,
211,2012-12-06,,141968659.32596,,,,,,,,,,,,,,,,,,,,,,,
212,2012-12-17,,141328289.74863002,,,,,,,,,,,,,,,,,,,,,,,
213,2012-12-28,,142832956.79259,,,,,,,,,,,,,,,,,,,,,,,
214,2013-01-01,,143930830.86155,,,,,,,,,,,,,,,,,,,,,,,
215,2013-01-11,,158858352.31573,,,,,,,,,,,,,,,,,,,,,,,
216,2013-01-22,,196543764.60819,,,,,,,,,,,,,,,,,,,,,,,
217,2013-02-02,,236282149.80017003,,,,,,,,,,,,,,,,,,,,,,,
218,2013-02-13,,299484761.34387004,,,,,,,,,,,,,,,,,,,,,,,
219,2013-02-24,,371714254.97692996,,,,,,,,,,,,,,,,,,,,,,,
220,2013-03-07,,497628956.80694,,,,,,,,,,,,,,,,,,,,,,,
221,2013-03-18,,757442531.49596,,,,,,,,,,,,,,,,,,,,,,,
222,2013-03-29,,1356275675.7053,,,,,,,,,,,,,,,,,,,,,,,
223,2013-04-09,,1309399150.5042,,,,,,,,,,,,,,,,,,,,,,,
224,2013-04-20,,1487755045.5308,,,,,,,,,,,,,,,,,,,,,,,
225,2013-05-01,,1235140299.8930001,,,,,,,,,,,,,,,,,,,,,,,
226,2013-05-12,,1326583161.7005,,,,,,,,,,,,,,,,,,,,,,,
227,2013-05-23,,1442699608.8933,,,,,,,,,,,,,,,,,,,,,,,
228,2013-06-03,,1256139157.9406,,,,,,,,,,,,,,,,,,,,,,,
229,2013-06-14,,1191581767.3114,,,,,,,,,,,,,,,,,,,,,,,
230,2013-06-25,,1046869919.1067,,,,,,,,,,,,,,,,,,,,,,,
