tag,sequence
netincome,1
netincomediscontinued,2
netincomecontinuing,3
depreciationexpense,4
amortizationexpense,5
noncashadjustmentstonetincome,6
increasedecreaseinoperatingcapital,7
netcashfromcontinuingoperatingactivities,8
netcashfromdiscontinuedoperatingactivities,9
netcashfromoperatingactivities,10
purchaseofplantpropertyandequipment,11
acquisitions,12
purchaseofinvestments,13
saleofplantpropertyandequipment,14
divestitures,15
saleofinvestments,16
otherinvestingactivitiesnet,17
netcashfromcontinuinginvestingactivities,18
netcashfromdiscontinuedinvestingactivities,19
netcashfrominvestingactivities,20
repaymentofdebt,21
repurchaseofpreferredequity,22
repurchaseofcommonequity,23
paymentofdividends,24
issuanceofdebt,25
issuanceofpreferredequity,26
issuanceofcommonequity,27
otherfinancingactivitiesnet,28
netcashfromcontinuingfinancingactivities,29
netcashfromdiscontinuedfinancingactivities,30
netcashfromfinancingactivities,31
effectofexchangeratechanges,32
othernetchangesincash,33
netchangeincash,34
cashinterestpaid,35
cashinterestreceived,36
cashincometaxespaid,37
